Property ID,Property Address,Borough,Neighborhood,Asset Type,Property Manager,Total Work Orders,Active Backlog Count,Open Work Orders,In Progress Work Orders,Closed Work Orders,Overdue Work Orders,Overdue Active Backlog Count,Critical Priority Count,High Priority Count,Largest Active Backlog Category,Largest Active Backlog Count,Vendors Assigned,Estimated Work Order Cost,Average Days to Close,Latest Opened Date,Backlog Status
PROP-0170,465 WEST 23 STREET,Manhattan,CHELSEA,Mixed-Use Condo,Casey Rivera,102,19,10,9,83,24,9,3,12,Elevator,6,9,54035.61,7.3,2025-12-27,Immediate backlog review
PROP-0135,160 WEST END AVENUE,Manhattan,UPPER WEST SIDE (59-79),Residential Condo,Avery Johnson,79,17,11,6,62,17,8,4,15,HVAC,3,9,43637.86,6.8,2025-12-25,Immediate backlog review
PROP-0171,25 CENTRAL PARK WEST,Manhattan,UPPER WEST SIDE (59-79),Mixed-Use Condo,Cameron Brooks,78,20,9,11,58,16,7,5,14,HVAC,6,9,42325.16,6.1,2025-12-28,Immediate backlog review
PROP-0016,252 7 AVENUE,Manhattan,CHELSEA,Multifamily Condo,Riley Chen,49,12,4,8,37,14,7,6,8,Elevator,3,9,39840.59,6.4,2025-12-26,Immediate backlog review
PROP-0002,7 NAVY PIER COURT,Staten Island,TOMPKINSVILLE,Mixed-Use Condo,Cameron Brooks,73,23,13,10,50,13,6,0,15,Janitorial,6,9,40051.37,6.4,2025-12-26,Immediate backlog review
PROP-0097,416 WEST 52 STREET,Manhattan,CLINTON,Multifamily Condo,Casey Rivera,42,14,6,8,28,10,5,4,6,Common Area,3,9,20556.47,6.4,2025-12-21,Immediate backlog review
PROP-0079,200 EAST 94 STREET,Manhattan,UPPER EAST SIDE (79-96),Multifamily Condo,Morgan Patel,49,14,9,5,35,11,5,3,9,Elevator,3,9,29227.13,6.9,2025-12-28,Immediate backlog review
PROP-0084,886 WESTCHESTER AVENUE,Bronx,MORRISANIA/LONGWOOD,Multifamily Condo,Avery Johnson,34,14,7,7,20,10,5,1,5,Preventive Maintenance,4,9,17631.74,8.3,2025-12-14,Immediate backlog review
PROP-0169,885 AVENUE OF THE AMERICA,Manhattan,FASHION,Multifamily Condo,Samira Khan,53,12,6,6,41,12,5,0,12,Electrical,3,9,25479.89,6.7,2025-12-27,Immediate backlog review
PROP-0122,27 KING STREET,Manhattan,SOHO,Residential Condo,Cameron Brooks,26,8,1,7,18,9,5,2,6,Electrical,3,8,20980.02,7.1,2025-12-21,Immediate backlog review
PROP-0104,10 NEVINS STREET,Brooklyn,DOWNTOWN-FULTON MALL,Residential Condo,Nadia Williams,38,6,2,4,32,8,5,2,8,Elevator,3,9,27505.22,6.6,2025-12-08,Immediate backlog review
PROP-0129,520 EAST 81 STREET,Manhattan,UPPER EAST SIDE (79-96),Residential Condo,Jordan Lee,49,16,7,9,33,9,4,2,4,Common Area,3,9,24771.8,7.8,2025-12-18,Immediate backlog review
PROP-0049,220 EAST 60 STREET,Manhattan,UPPER EAST SIDE (59-79),Retail-Adjacent Condo,Avery Johnson,51,11,5,6,40,7,4,5,11,HVAC,4,9,36548.34,4.1,2025-12-19,Immediate backlog review
PROP-0106,467 CENTRAL PARK WEST,Manhattan,MANHATTAN VALLEY,Multifamily Condo,Cameron Brooks,32,9,4,5,23,7,4,2,6,Elevator,3,9,15464.84,6.4,2025-12-27,Immediate backlog review
PROP-0047,3536 CAMBRIDGE AVENUE,Bronx,RIVERDALE,Residential Condo,Drew Thompson,24,8,6,2,16,6,4,1,3,Elevator,2,9,13734.2,7.7,2025-12-12,Immediate backlog review
PROP-0001,354 BROADWAY,Manhattan,CHINATOWN,Mixed-Use Condo,Drew Thompson,16,8,3,5,8,8,4,0,4,Electrical,2,8,8560.04,12.0,2025-11-15,Immediate backlog review
PROP-0045,55 3 AVENUE,Manhattan,EAST VILLAGE,Residential Condo,Casey Rivera,29,7,3,4,22,7,4,3,6,Common Area,2,9,16735.49,7.0,2025-12-26,Immediate backlog review
PROP-0072,700 RIVERSIDE DRIVE,Manhattan,HARLEM-UPPER,Multifamily Condo,Avery Johnson,22,7,2,5,15,7,4,1,7,Common Area,1,9,16046.36,8.6,2025-12-23,Immediate backlog review
PROP-0030,200 SOUTH 2 STREET,Brooklyn,WILLIAMSBURG-SOUTH,Multifamily Condo,Avery Johnson,21,7,2,5,14,5,4,1,5,Electrical,2,9,8647.02,7.1,2025-12-11,Immediate backlog review
PROP-0168,57 READE STREET,Manhattan,CIVIC CENTER,Mixed-Use Condo,Drew Thompson,21,6,1,5,15,8,4,3,5,Common Area,2,7,16726.14,5.9,2025-12-10,Immediate backlog review
PROP-0011,24 DUNHAM PLACE,Brooklyn,WILLIAMSBURG-SOUTH,Residential Condo,Riley Chen,18,5,1,4,13,6,4,4,3,Preventive Maintenance,2,8,19598.11,4.8,2025-11-19,Immediate backlog review
PROP-0041,601 WEST 41 STREET,Manhattan,CLINTON,Multifamily Condo,Nadia Williams,17,5,3,2,12,8,4,2,2,Preventive Maintenance,2,8,11886.27,8.5,2025-12-15,Immediate backlog review
PROP-0007,51 EAST 131 STREET,Manhattan,HARLEM-CENTRAL,Residential Condo,Taylor Morgan,26,5,1,4,21,7,4,1,7,HVAC,1,8,17233.09,6.9,2025-12-01,Immediate backlog review
PROP-0140,80 RICHMOND HILL ROAD,Staten Island,NEW SPRINGVILLE,Multifamily Condo,Taylor Morgan,57,13,8,5,44,13,3,6,11,Electrical,3,9,39239.82,6.8,2025-12-14,Immediate backlog review
PROP-0074,30-02 39 AVENUE,Queens,LONG ISLAND CITY,Residential Condo,Cameron Brooks,46,12,4,8,34,7,3,0,8,HVAC,3,9,23434.45,6.9,2025-12-14,Immediate backlog review
PROP-0173,420 LEXINGTON AVENUE,Brooklyn,BEDFORD STUYVESANT,Multifamily Condo,Drew Thompson,35,10,6,4,25,6,3,3,4,HVAC,4,9,23184.4,6.6,2025-12-14,Immediate backlog review
PROP-0086,11-24 31 AVENUE,Queens,ASTORIA,Residential Condo,Casey Rivera,23,8,4,4,15,4,3,1,1,Security,2,8,11086.26,6.1,2025-12-25,Immediate backlog review
PROP-0076,1078 FULTON STREET,Brooklyn,BEDFORD STUYVESANT,Multifamily Condo,Jordan Lee,26,7,6,1,19,7,3,0,8,Plumbing,2,9,18636.29,6.7,2025-12-24,Immediate backlog review
PROP-0042,205 BLEECKER STREET,Manhattan,GREENWICH VILLAGE-CENTRAL,Multifamily Condo,Casey Rivera,18,6,3,3,12,4,3,1,6,Janitorial,2,8,10471.95,4.7,2025-12-28,Immediate backlog review
PROP-0010,72 BERRY STREET,Brooklyn,WILLIAMSBURG-NORTH,Multifamily Condo,Cameron Brooks,27,5,3,2,22,7,3,3,6,Common Area,2,9,21887.45,7.4,2025-12-11,Immediate backlog review
PROP-0085,102 BRADHURST AVENUE,Manhattan,HARLEM-CENTRAL,Residential Condo,Nadia Williams,36,5,3,2,31,7,3,2,10,Common Area,1,8,21920.5,6.5,2025-12-26,Immediate backlog review
PROP-0036,130 BRADHURST AVENUE,Manhattan,HARLEM-CENTRAL,Multifamily Condo,Drew Thompson,29,5,2,3,24,8,3,1,7,Common Area,1,9,17440.75,7.0,2025-12-26,Immediate backlog review
PROP-0073,1530 EAST 15 STREET,Brooklyn,MIDWOOD,Multifamily Condo,Cameron Brooks,21,4,2,2,17,6,3,2,3,Common Area,1,9,10575.89,6.0,2025-11-21,Immediate backlog review
PROP-0158,31 NORTH MOORE STREET,Manhattan,TRIBECA,Multifamily Condo,Avery Johnson,17,4,2,2,13,5,3,1,4,Common Area,1,8,12041.57,6.1,2025-12-19,Immediate backlog review
PROP-0096,302 BROOME STREET,Manhattan,LOWER EAST SIDE,Multifamily Condo,Drew Thompson,13,3,0,3,10,6,3,1,4,Common Area,1,8,6667.96,6.9,2025-12-22,Immediate backlog review
PROP-0061,4215 PARK AVENUE,Bronx,BATHGATE,Multifamily Condo,Samira Khan,38,11,5,6,27,5,2,1,2,Electrical,3,9,19132.84,5.7,2025-12-17,Immediate backlog review
PROP-0056,3015 BRIGHTON 6 STREET,Brooklyn,BRIGHTON BEACH,Mixed-Use Condo,Samira Khan,30,11,6,5,19,8,2,0,2,Elevator,3,9,10269.78,6.5,2025-12-22,Immediate backlog review
PROP-0107,2 ELMWOOD PARK DRIVE,Staten Island,NEW SPRINGVILLE,Residential Condo,Jordan Lee,34,10,6,4,24,9,2,4,6,Plumbing,2,9,24787.43,7.3,2025-12-26,Immediate backlog review
PROP-0037,429 GREENWICH STREET,Manhattan,TRIBECA,Multifamily Condo,Jordan Lee,29,8,6,2,21,3,2,0,5,Elevator,2,9,19771.01,5.9,2025-12-13,Immediate backlog review
PROP-0132,1 CENTRAL PARK WEST,Manhattan,UPPER WEST SIDE (59-79),Multifamily Condo,Taylor Morgan,45,7,5,2,38,11,2,2,7,Common Area,2,9,33557.44,8.1,2025-12-20,Immediate backlog review
PROP-0077,510 EAST 80 STREET,Manhattan,UPPER EAST SIDE (79-96),Residential Condo,Casey Rivera,19,7,3,4,12,3,2,2,1,Preventive Maintenance,2,7,7448.38,5.7,2025-12-01,Immediate backlog review
PROP-0118,195 HUDSON STREET,Manhattan,TRIBECA,Multifamily Condo,Riley Chen,23,7,6,1,16,5,2,1,4,Common Area,2,8,14082.07,6.2,2025-12-16,Immediate backlog review
PROP-0026,94 SKILLMAN STREET,Brooklyn,BEDFORD STUYVESANT,Multifamily Condo,Jordan Lee,16,7,5,2,9,3,2,1,2,Security,3,6,9977.79,4.4,2025-12-15,Immediate backlog review
PROP-0147,155 BAY STREET,Staten Island,NEW BRIGHTON-ST. GEORGE,Mixed-Use Condo,Avery Johnson,20,6,3,3,14,4,2,2,4,HVAC,4,8,12772.25,6.9,2025-12-07,Immediate backlog review
PROP-0161,491 GREENWICH STREET,Manhattan,SOHO,Multifamily Condo,Samira Khan,26,6,3,3,20,5,2,1,6,Security,2,9,20447.13,6.0,2025-12-15,Immediate backlog review
PROP-0109,121 WELLINGTON COURT,Staten Island,NEW SPRINGVILLE,Multifamily Condo,Drew Thompson,32,6,2,4,26,5,2,1,8,Electrical,2,9,19781.79,5.4,2025-12-18,Immediate backlog review
PROP-0090,59 CONSELYEA STREET,Brooklyn,WILLIAMSBURG-EAST,Multifamily Condo,Cameron Brooks,15,6,6,0,9,2,2,1,3,Janitorial,2,8,6989.01,4.9,2025-12-01,Immediate backlog review
PROP-0023,150 FEATHERBED LANE,Bronx,HIGHBRIDGE/MORRIS HEIGHTS,Multifamily Condo,Drew Thompson,23,6,2,4,17,5,2,0,3,Security,2,8,15185.83,7.1,2025-12-10,Immediate backlog review
PROP-0172,156 SACKETT STREET,Brooklyn,COBBLE HILL-WEST,Residential Condo,Riley Chen,12,6,2,4,6,4,2,0,3,Electrical,2,9,5688.23,6.5,2025-12-02,Immediate backlog review
PROP-0119,318 WARREN STREET,Brooklyn,BOERUM HILL,Retail-Adjacent Condo,Nadia Williams,27,5,1,4,22,7,2,2,4,Plumbing,2,9,16103.85,7.5,2025-12-20,Immediate backlog review
PROP-0038,950 41 STREET,Brooklyn,BOROUGH PARK,Multifamily Condo,Riley Chen,12,5,2,3,7,2,2,2,1,Common Area,1,8,9215.47,2.7,2025-12-07,Immediate backlog review
PROP-0060,200 EAST 58 STREET,Manhattan,MIDTOWN EAST,Multifamily Condo,Casey Rivera,29,5,1,4,24,9,2,1,7,Tenant Request,2,8,21774.28,8.2,2025-12-27,Immediate backlog review
PROP-0069,90 BAY STREET LANDING,Staten Island,NEW BRIGHTON-ST. GEORGE,Multifamily Condo,Jordan Lee,28,5,2,3,23,4,2,1,7,Janitorial,2,9,16162.71,5.9,2025-12-20,Immediate backlog review
PROP-0103,7 GRAMERCY PARK WEST,Manhattan,GRAMERCY,Multifamily Condo,Nadia Williams,16,5,4,1,11,4,2,1,5,Elevator,3,7,15058.84,6.5,2025-12-25,Immediate backlog review
PROP-0067,401 BEDFORD AVENUE,Brooklyn,WILLIAMSBURG-SOUTH,Residential Condo,Cameron Brooks,18,5,4,1,13,4,2,1,5,Elevator,2,8,11318.98,6.3,2025-11-13,Immediate backlog review
PROP-0115,25-47 23 STREET,Queens,ASTORIA,Multifamily Condo,Taylor Morgan,16,5,2,3,11,6,2,1,2,Common Area,1,9,9530.07,9.9,2025-12-24,Immediate backlog review
PROP-0112,45 EAST 80 STREET,Manhattan,UPPER EAST SIDE (79-96),Multifamily Condo,Riley Chen,18,5,2,3,13,4,2,0,3,Janitorial,2,8,10135.55,8.0,2025-12-27,Immediate backlog review
PROP-0065,3427 BRUCKNER BOULEVARD,Bronx,SCHUYLERVILLE/PELHAM BAY,Multifamily Condo,Morgan Patel,20,4,1,3,16,3,2,5,4,Electrical,2,7,29429.57,3.3,2025-12-27,Immediate backlog review
PROP-0136,55-16 MAIN STREET,Queens,FLUSHING-NORTH,Mixed-Use Condo,Jordan Lee,17,4,2,2,13,5,2,5,3,Elevator,1,7,17177.57,6.3,2025-12-15,Immediate backlog review
PROP-0166,207 EAST 57 STREET,Manhattan,MIDTOWN EAST,Multifamily Condo,Drew Thompson,21,4,3,1,17,3,2,3,3,Security,2,9,13738.5,5.7,2025-12-23,Immediate backlog review
PROP-0028,40-01 LITTLE NECK PARKWAY,Queens,LITTLE NECK,Multifamily Condo,Cameron Brooks,27,4,4,0,23,8,2,2,6,Elevator,2,9,21044.5,8.1,2025-12-10,Immediate backlog review
PROP-0039,1972 OCEAN AVENUE,Brooklyn,MIDWOOD,Mixed-Use Condo,Drew Thompson,16,4,2,2,12,3,2,1,2,Elevator,2,8,12130.52,6.4,2025-09-21,Immediate backlog review
PROP-0092,5024 10 AVENUE,Brooklyn,BOROUGH PARK,Residential Condo,Nadia Williams,11,4,4,0,7,3,2,1,4,Common Area,1,7,11298.47,6.4,2025-12-24,Immediate backlog review
PROP-0054,35 WEST END AVENUE,Brooklyn,MANHATTAN BEACH,Multifamily Condo,Taylor Morgan,14,4,1,3,10,5,2,1,3,HVAC,3,8,11109.74,7.9,2025-12-16,Immediate backlog review
PROP-0078,250 EAST HOUSTON STREET,Manhattan,ALPHABET CITY,Multifamily Condo,Avery Johnson,17,4,3,1,13,4,2,1,2,Plumbing,2,8,8079.44,5.9,2025-12-27,Immediate backlog review
PROP-0141,645 LEFFERTS AVENUE,Brooklyn,FLATBUSH-NORTH,Mixed-Use Condo,Avery Johnson,13,4,3,1,9,4,2,1,0,Common Area,1,9,6257.62,9.0,2025-12-11,Immediate backlog review
PROP-0159,79 LAIGHT STREET,Manhattan,TRIBECA,Multifamily Condo,Jordan Lee,22,4,2,2,18,7,2,0,5,Electrical,1,8,16083.6,9.0,2025-12-04,Immediate backlog review
PROP-0142,83-09 TALBOT STREET,Queens,KEW GARDENS,Multifamily Condo,Taylor Morgan,24,4,3,1,20,3,2,0,4,Tenant Request,2,8,12477.78,5.0,2025-12-11,Immediate backlog review
PROP-0093,269 EAST BURNSIDE AVENUE,Bronx,FORDHAM,Multifamily Condo,Avery Johnson,22,4,3,1,18,6,2,0,4,Preventive Maintenance,2,9,12096.74,9.2,2025-12-25,Immediate backlog review
PROP-0150,42 SKILLMAN STREET,Brooklyn,BEDFORD STUYVESANT,Multifamily Condo,Drew Thompson,18,4,1,3,14,5,2,0,2,Plumbing,2,7,9889.97,7.6,2025-12-07,Immediate backlog review
PROP-0025,100 STERLING PLACE,Brooklyn,PARK SLOPE,Multifamily Condo,Drew Thompson,15,3,1,2,12,6,2,2,3,Janitorial,2,9,11690.21,8.8,2025-12-22,Immediate backlog review
PROP-0101,63-26 99 STREET,Queens,REGO PARK,Multifamily Condo,Drew Thompson,10,3,1,2,7,3,2,2,1,Elevator,1,8,9529.53,8.1,2025-11-07,Immediate backlog review
PROP-0040,44 BUTLER PLACE,Brooklyn,PROSPECT HEIGHTS,Mixed-Use Condo,Morgan Patel,27,3,2,1,24,5,2,0,5,Tenant Request,2,9,12549.0,5.6,2025-12-08,Immediate backlog review
PROP-0152,2803 OCEAN PARKWAY,Brooklyn,BRIGHTON BEACH,Residential Condo,Avery Johnson,9,3,2,1,6,2,2,0,2,Plumbing,1,6,5710.86,2.7,2025-09-19,Immediate backlog review
PROP-0133,9 BARROW STREET,Manhattan,GREENWICH VILLAGE-WEST,Residential Condo,Cameron Brooks,28,2,1,1,26,3,2,2,3,Tenant Request,2,9,19348.52,4.7,2025-11-26,Immediate backlog review
PROP-0155,120 WELLINGTON COURT,Staten Island,NEW SPRINGVILLE,Residential Condo,Taylor Morgan,13,2,1,1,11,4,2,1,4,Elevator,1,8,15007.24,8.5,2025-10-23,Immediate backlog review
PROP-0100,18 ORCHARD STREET,Manhattan,LOWER EAST SIDE,Residential Condo,Taylor Morgan,14,2,1,1,12,3,2,0,4,Janitorial,1,8,9287.17,4.1,2025-12-14,Immediate backlog review
PROP-0091,321 5 AVENUE,Manhattan,MURRAY HILL,Residential Condo,Taylor Morgan,42,9,3,6,33,7,1,6,8,Plumbing,3,9,28488.73,5.9,2025-11-27,Immediate backlog review
PROP-0110,339 EAST 74 STREET,Manhattan,UPPER EAST SIDE (59-79),Multifamily Condo,Riley Chen,33,8,2,6,25,9,1,0,6,Elevator,2,9,13863.23,7.8,2025-12-10,Immediate backlog review
PROP-0033,550 VANDERBILT AVENUE,Brooklyn,PROSPECT HEIGHTS,Multifamily Condo,Nadia Williams,55,7,6,1,48,9,1,3,5,Plumbing,2,9,32632.85,6.0,2025-12-23,Immediate backlog review
PROP-0111,260 PARK AVENUE SOUTH,Manhattan,FLATIRON,Mixed-Use Condo,Casey Rivera,24,7,2,5,17,3,1,0,4,Electrical,2,9,10748.31,7.5,2025-12-27,Immediate backlog review
PROP-0117,346 EAST 21 STREET,Manhattan,KIPS BAY,Multifamily Condo,Jordan Lee,23,6,5,1,17,7,1,3,3,Common Area,2,8,20237.33,7.2,2025-12-25,Immediate backlog review
PROP-0009,1154 1 AVENUE,Manhattan,UPPER EAST SIDE (59-79),Residential Condo,Jordan Lee,18,6,1,5,12,3,1,2,0,HVAC,2,8,9403.78,8.0,2025-11-01,Immediate backlog review
PROP-0128,285 DRIGGS AVENUE,Brooklyn,GREENPOINT,Multifamily Condo,Jordan Lee,13,6,4,2,7,2,1,1,2,Electrical,2,6,16714.48,3.6,2025-12-20,Immediate backlog review
PROP-0125,48 BEACH STREET,Manhattan,TRIBECA,Multifamily Condo,Avery Johnson,17,6,2,4,11,5,1,0,5,HVAC,2,9,10550.7,8.9,2025-12-08,Immediate backlog review
