Property ID,Property Address,Borough,Neighborhood,Asset Type,Property Manager,Total Work Orders,Active Backlog Count,Open Work Orders,In Progress Work Orders,Closed Work Orders,Overdue Work Orders,Overdue Active Backlog Count,Critical Priority Count,High Priority Count,Largest Active Backlog Category,Largest Active Backlog Count,Vendors Assigned,Estimated Work Order Cost,Average Days to Close,Latest Opened Date,Backlog Status
PROP-0146,2300 FREDERICK DOUGLASS BLVD.,Manhattan,HARLEM-CENTRAL,Retail-Adjacent Condo,Nadia Williams,22,5,3,2,17,3,1,1,7,Tenant Request,2,8,15795.31,4.8,2025-12-21,Immediate backlog review
PROP-0139,898 BEDFORD AVENUE,Brooklyn,BEDFORD STUYVESANT,Multifamily Condo,Cameron Brooks,20,5,3,2,15,3,1,1,4,Electrical,2,9,11928.78,6.0,2025-12-11,Immediate backlog review
PROP-0138,63-36 99 STREET,Queens,REGO PARK,Multifamily Condo,Cameron Brooks,18,5,2,3,13,2,1,1,2,Plumbing,2,7,10493.88,5.7,2025-12-06,Immediate backlog review
PROP-0052,150 EAST 37 STREET,Manhattan,MURRAY HILL,Mixed-Use Condo,Riley Chen,17,5,2,3,12,3,1,1,2,Preventive Maintenance,3,8,8725.51,9.1,2025-12-15,Immediate backlog review
PROP-0008,145 LINCOLN AVENUE,Staten Island,GRANT CITY,Multifamily Condo,Morgan Patel,32,5,2,3,27,5,1,0,5,Electrical,1,9,15750.08,7.4,2025-12-27,Immediate backlog review
PROP-0081,14 EAST 33 STREET,Manhattan,MURRAY HILL,Multifamily Condo,Riley Chen,22,5,2,3,17,3,1,0,2,HVAC,2,8,12021.06,6.4,2025-12-28,Immediate backlog review
PROP-0108,2 PRINCE STREET,Manhattan,LITTLE ITALY,Multifamily Condo,Taylor Morgan,21,5,4,1,16,2,1,0,4,Common Area,2,9,11918.19,4.8,2025-12-20,Immediate backlog review
PROP-0020,299 BEDFORD AVENUE,Brooklyn,WILLIAMSBURG-SOUTH,Retail-Adjacent Condo,Riley Chen,13,5,2,3,8,3,1,0,4,Preventive Maintenance,3,8,8274.23,5.9,2025-11-08,Immediate backlog review
PROP-0121,81-18 QUEENS BOULEVARD,Queens,ELMHURST,Mixed-Use Condo,Riley Chen,14,5,2,3,9,4,1,0,1,Common Area,1,7,5119.35,11.1,2025-12-14,Immediate backlog review
PROP-0059,31 MONROE STREET,Manhattan,LOWER EAST SIDE,Multifamily Condo,Riley Chen,25,4,2,2,21,4,1,2,0,Plumbing,2,9,11724.35,9.1,2025-12-21,Immediate backlog review
PROP-0130,311 ST NICHOLAS AVENUE,Queens,RIDGEWOOD,Multifamily Condo,Taylor Morgan,17,4,2,2,13,3,1,1,3,Elevator,2,7,13207.39,7.1,2025-11-20,Immediate backlog review
PROP-0099,30 RUTGERS STREET,Manhattan,LOWER EAST SIDE,Multifamily Condo,Riley Chen,14,4,2,2,10,3,1,1,2,Janitorial,1,7,11816.08,6.2,2025-12-22,Immediate backlog review
PROP-0134,755 40 STREET,Brooklyn,SUNSET PARK,Mixed-Use Condo,Samira Khan,16,4,2,2,12,3,1,1,5,Common Area,1,7,10277.51,4.1,2025-12-28,Immediate backlog review
PROP-0003,113 ELDRIDGE STREET,Manhattan,LOWER EAST SIDE,Mixed-Use Condo,Riley Chen,14,4,2,2,10,2,1,1,4,Common Area,1,9,7441.41,4.6,2025-12-06,Immediate backlog review
PROP-0022,2408 OCEAN AVENUE,Brooklyn,MADISON,Multifamily Condo,Avery Johnson,14,4,3,1,10,3,1,1,2,Tenant Request,2,6,6114.19,8.1,2025-09-07,Immediate backlog review
PROP-0098,151 WEST 17 STREET,Manhattan,CHELSEA,Residential Condo,Nadia Williams,13,4,1,3,9,3,1,1,3,Common Area,1,7,5943.39,7.7,2025-12-20,Immediate backlog review
PROP-0160,64-86 WETHEROLE STREET,Queens,15TH Q QUEENS,Mixed-Use Condo,Casey Rivera,23,4,1,3,19,4,1,0,5,Electrical,1,9,14411.4,6.6,2025-12-09,Immediate backlog review
PROP-0005,680 RIVERSIDE DRIVE,Manhattan,HARLEM-UPPER,Residential Condo,Taylor Morgan,15,4,1,3,11,2,1,0,2,Electrical,1,8,9807.36,6.0,2025-11-20,Immediate backlog review
PROP-0044,1019 SOUTHERN BOULEVARD,Bronx,MORRISANIA/LONGWOOD,Multifamily Condo,Avery Johnson,17,4,2,2,13,3,1,0,3,Plumbing,2,8,8087.11,6.5,2025-10-23,Immediate backlog review
PROP-0145,255 WEST 84 STREET,Manhattan,UPPER WEST SIDE (79-96),Multifamily Condo,Taylor Morgan,24,3,1,2,21,6,1,1,7,HVAC,2,9,14992.54,7.3,2025-12-24,Immediate backlog review
PROP-0019,29 SOUTH 3 STREET,Brooklyn,WILLIAMSBURG-SOUTH,Mixed-Use Condo,Riley Chen,23,3,1,2,20,4,1,1,3,Electrical,1,8,11481.74,6.5,2025-12-25,Immediate backlog review
PROP-0148,257 WEST 93 STREET,Manhattan,UPPER WEST SIDE (79-96),Multifamily Condo,Morgan Patel,11,3,2,1,8,1,1,0,1,Electrical,1,6,5224.15,3.4,2025-12-20,Immediate backlog review
PROP-0050,57 MASPETH AVENUE,Brooklyn,WILLIAMSBURG-EAST,Multifamily Condo,Taylor Morgan,11,3,0,3,8,2,1,0,1,Electrical,1,5,4618.11,6.5,2025-12-12,Immediate backlog review
PROP-0013,125 NORTH 10 STREET,Brooklyn,WILLIAMSBURG-NORTH,Multifamily Condo,Nadia Williams,24,2,1,1,22,4,1,3,3,Elevator,1,9,16235.16,6.8,2025-11-12,Immediate backlog review
PROP-0164,519 WEST 135 STREET,Manhattan,HARLEM-WEST,Multifamily Condo,Casey Rivera,17,2,2,0,15,1,1,3,2,Common Area,1,6,9462.16,4.6,2025-12-19,Immediate backlog review
PROP-0174,184 DUANE STREET,Manhattan,TRIBECA,Retail-Adjacent Condo,Taylor Morgan,20,2,2,0,18,3,1,2,5,Common Area,2,9,23198.23,6.9,2025-12-26,Immediate backlog review
PROP-0167,220 WEST BROADWAY,Manhattan,TRIBECA,Multifamily Condo,Cameron Brooks,17,2,1,1,15,4,1,2,2,HVAC,1,7,13864.55,7.3,2025-12-20,Immediate backlog review
PROP-0075,61-05 39 AVENUE,Queens,WOODSIDE,Multifamily Condo,Morgan Patel,22,2,1,1,20,5,1,1,6,Electrical,2,9,17745.19,4.5,2025-12-27,Immediate backlog review
PROP-0032,80 ADELPHI STREET,Brooklyn,FORT GREENE,Multifamily Condo,Cameron Brooks,15,2,1,1,13,1,1,1,2,Plumbing,1,7,11790.08,3.8,2025-12-15,Immediate backlog review
PROP-0126,31-35 31 STREET,Queens,ASTORIA,Multifamily Condo,Nadia Williams,13,2,1,1,11,3,1,1,3,Common Area,2,7,8183.9,8.5,2025-11-22,Immediate backlog review
PROP-0120,456 FLUSHING AVENUE,Brooklyn,BEDFORD STUYVESANT,Mixed-Use Condo,Samira Khan,13,2,0,2,11,3,1,1,2,Janitorial,1,6,5085.82,7.5,2025-12-28,Immediate backlog review
PROP-0095,378 BALTIC STREET,Brooklyn,CARROLL GARDENS,Multifamily Condo,Jordan Lee,21,2,1,1,19,4,1,0,6,Common Area,1,9,18665.37,6.2,2025-12-23,Immediate backlog review
PROP-0144,123 3 AVENUE,Manhattan,EAST VILLAGE,Multifamily Condo,Samira Khan,11,2,0,2,9,2,1,0,2,Elevator,1,6,8248.29,6.8,2025-12-14,Immediate backlog review
PROP-0123,2185 ADAM C. POWELL BOULEVARD,Manhattan,HARLEM-CENTRAL,Retail-Adjacent Condo,Riley Chen,16,2,2,0,14,3,1,0,0,Elevator,2,9,7203.85,7.1,2025-12-11,Immediate backlog review
PROP-0006,999 FOREST AVENUE,Staten Island,WEST NEW BRIGHTON,Multifamily Condo,Samira Khan,13,2,1,1,11,1,1,0,2,Common Area,1,5,6177.8,6.2,2025-12-06,Immediate backlog review
PROP-0063,577 WEST 161 STREET,Manhattan,WASHINGTON HEIGHTS LOWER,Multifamily Condo,Jordan Lee,14,2,0,2,12,4,1,0,1,Common Area,1,8,5441.6,7.8,2025-12-26,Immediate backlog review
PROP-0113,205 EAST 22 STREET,Manhattan,GRAMERCY,Multifamily Condo,Jordan Lee,16,2,1,1,14,3,1,0,2,Preventive Maintenance,1,8,5230.24,8.4,2025-12-28,Immediate backlog review
PROP-0058,65-38 AUSTIN STREET,Queens,REGO PARK,Residential Condo,Samira Khan,13,1,1,0,12,1,1,2,0,Electrical,1,6,7524.42,5.3,2025-12-16,Immediate backlog review
PROP-0089,136-17 MAPLE AVENUE,Queens,FLUSHING-NORTH,Multifamily Condo,Jordan Lee,20,1,0,1,19,3,1,1,3,Preventive Maintenance,1,8,14351.8,5.8,2025-11-10,Immediate backlog review
PROP-0048,220 WEST 148 STREET,Manhattan,HARLEM-CENTRAL,Multifamily Condo,Taylor Morgan,20,1,1,0,19,5,1,1,2,Preventive Maintenance,1,7,11458.94,7.4,2025-12-14,Immediate backlog review
PROP-0055,132-34 41 AVENUE,Queens,FLUSHING-NORTH,Multifamily Condo,Cameron Brooks,18,1,1,0,17,3,1,1,4,Common Area,1,9,10171.37,6.2,2025-12-23,Immediate backlog review
PROP-0154,195 BALCOM AVENUE,Bronx,THROGS NECK,Multifamily Condo,Taylor Morgan,16,1,0,1,15,2,1,1,1,Common Area,1,8,9583.13,6.9,2025-12-21,Immediate backlog review
PROP-0051,6501 BAY PARKWAY,Brooklyn,GRAVESEND,Mixed-Use Condo,Morgan Patel,8,1,1,0,7,1,1,1,0,Security,1,7,7006.28,6.3,2025-07-18,Immediate backlog review
PROP-0124,2132 2 AVENUE,Manhattan,HARLEM-EAST,Mixed-Use Condo,Jordan Lee,11,1,1,0,10,1,1,0,1,Elevator,1,5,5030.52,6.4,2025-12-07,Immediate backlog review
PROP-0053,235 OCEAN PARKWAY,Brooklyn,KENSINGTON,Residential Condo,Jordan Lee,10,1,0,1,9,2,1,0,2,HVAC,1,5,3660.57,5.8,2025-12-14,Immediate backlog review
PROP-0014,56-16 SEABURY STREET,Queens,ELMHURST,Multifamily Condo,Drew Thompson,21,8,2,6,13,3,0,2,2,Plumbing,4,8,12359.95,5.3,2025-12-19,Immediate backlog review
PROP-0082,415 EAST 54 STREET,Manhattan,MIDTOWN EAST,Multifamily Condo,Riley Chen,27,5,3,2,22,6,0,2,5,Plumbing,2,9,19702.92,7.6,2025-12-21,Immediate backlog review
PROP-0151,140 NORTH 6 STREET,Brooklyn,WILLIAMSBURG-NORTH,Multifamily Condo,Jordan Lee,16,5,5,0,11,2,0,1,3,Elevator,2,8,12143.57,6.4,2025-11-09,Immediate backlog review
PROP-0149,850 HOWARD AVENUE,Staten Island,SUNNYSIDE,Multifamily Condo,Avery Johnson,22,5,2,3,17,1,0,1,1,Common Area,1,8,11744.91,4.9,2025-12-19,Immediate backlog review
PROP-0046,755 KENT AVENUE,Brooklyn,WILLIAMSBURG-CENTRAL,Mixed-Use Condo,Riley Chen,28,5,1,4,23,5,0,1,2,Plumbing,2,9,11577.69,8.0,2025-12-15,Immediate backlog review
PROP-0175,110-14 65 AVENUE,Queens,FOREST HILLS,Retail-Adjacent Condo,Jordan Lee,20,4,2,2,16,4,0,2,2,Preventive Maintenance,2,7,11472.59,6.2,2025-12-28,Immediate backlog review
PROP-0070,48 EAST END AVENUE,Manhattan,UPPER EAST SIDE (79-96),Multifamily Condo,Morgan Patel,12,4,3,1,8,2,0,1,1,Common Area,1,7,7405.35,6.9,2025-12-27,Immediate backlog review
PROP-0102,46-22 171 STREET,Queens,FLUSHING-NORTH,Mixed-Use Condo,Nadia Williams,12,4,2,2,8,2,0,0,2,Plumbing,2,6,12452.24,6.6,2025-12-27,Routine backlog monitoring
PROP-0062,380 NEPTUNE AVENUE,Brooklyn,BRIGHTON BEACH,Residential Condo,Drew Thompson,19,4,2,2,15,1,0,0,3,HVAC,2,7,10968.3,6.1,2025-12-14,Routine backlog monitoring
PROP-0163,118-82 METROPOLITAN AVENUE,Queens,KEW GARDENS,Residential Condo,Nadia Williams,16,4,3,1,12,1,0,0,2,Preventive Maintenance,2,5,8942.54,8.0,2025-12-22,Routine backlog monitoring
PROP-0083,112-45 39 AVENUE,Queens,75TH Q QUEENS,Multifamily Condo,Drew Thompson,16,4,2,2,12,2,0,0,2,Security,2,7,6653.37,8.2,2025-12-10,Routine backlog monitoring
PROP-0064,178 DIVISION AVENUE,Brooklyn,75TH Q BROOKLYN,Mixed-Use Condo,Casey Rivera,19,3,1,2,16,3,0,2,4,HVAC,2,7,13451.71,7.9,2025-12-23,Immediate backlog review
PROP-0031,40 WEST 55 STREET,Manhattan,MIDTOWN WEST,Residential Condo,Riley Chen,17,3,1,2,14,5,0,2,2,Elevator,1,8,12813.96,8.2,2025-12-04,Immediate backlog review
PROP-0143,54-09 108 STREET,Queens,CORONA,Multifamily Condo,Morgan Patel,11,3,1,2,8,2,0,0,4,Electrical,1,5,12870.72,6.3,2025-12-21,Routine backlog monitoring
PROP-0094,546 55 STREET,Brooklyn,SUNSET PARK,Residential Condo,Avery Johnson,18,3,2,1,15,4,0,0,4,Common Area,1,7,12330.91,9.9,2025-12-04,Routine backlog monitoring
PROP-0157,52 DEAN STREET,Brooklyn,BOERUM HILL,Multifamily Condo,Avery Johnson,21,3,0,3,18,2,0,0,4,HVAC,1,8,11261.56,6.6,2025-12-03,Routine backlog monitoring
PROP-0114,245 WEST 115 STREET,Manhattan,HARLEM-CENTRAL,Mixed-Use Condo,Drew Thompson,23,3,0,3,20,5,0,0,4,Elevator,1,9,11047.6,7.5,2025-12-17,Routine backlog monitoring
PROP-0034,525 PARK AVENUE,Manhattan,UPPER EAST SIDE (59-79),Retail-Adjacent Condo,Samira Khan,20,3,1,2,17,2,0,0,5,Electrical,1,8,9603.65,5.3,2025-12-25,Elevated backlog monitoring
PROP-0088,148 EAST 24 STREET,Manhattan,GRAMERCY,Multifamily Condo,Taylor Morgan,15,3,0,3,12,2,0,0,1,Elevator,1,7,4627.8,6.5,2025-12-19,Routine backlog monitoring
PROP-0027,30 WEST 9 STREET,Manhattan,GREENWICH VILLAGE-CENTRAL,Multifamily Condo,Drew Thompson,13,3,3,0,10,1,0,0,1,Elevator,1,7,3747.0,6.8,2025-12-27,Routine backlog monitoring
PROP-0068,42-83 HUNTER STREET,Queens,LONG ISLAND CITY,Retail-Adjacent Condo,Taylor Morgan,11,3,0,3,8,2,0,0,0,HVAC,2,8,3639.47,8.8,2025-12-10,Routine backlog monitoring
PROP-0131,139-30 34 AVENUE,Queens,FLUSHING-NORTH,Multifamily Condo,Casey Rivera,18,2,0,2,16,2,0,2,2,Plumbing,1,8,11916.53,4.8,2025-12-24,Immediate backlog review
PROP-0057,727 OCEAN VIEW AVENUE,Brooklyn,BRIGHTON BEACH,Mixed-Use Condo,Riley Chen,17,2,2,0,15,2,0,2,1,Janitorial,1,6,10859.91,5.9,2025-12-26,Immediate backlog review
PROP-0043,376 WALLABOUT STREET,Brooklyn,WILLIAMSBURG-CENTRAL,Mixed-Use Condo,Taylor Morgan,17,2,2,0,15,2,0,1,4,HVAC,1,8,11397.94,5.8,2025-12-18,Immediate backlog review
PROP-0105,40-40 75 STREET,Queens,ELMHURST,Mixed-Use Condo,Taylor Morgan,19,2,0,2,17,1,0,1,1,Electrical,1,9,11002.64,6.6,2025-11-26,Immediate backlog review
PROP-0018,260 BEACH 81 STREET,Queens,HAMMELS,Multifamily Condo,Samira Khan,18,2,2,0,16,3,0,1,1,Plumbing,1,8,7980.61,6.7,2025-12-14,Immediate backlog review
PROP-0156,3050 CORLEAR AVENUE,Bronx,KINGSBRIDGE/JEROME PARK,Residential Condo,Morgan Patel,21,2,0,2,19,0,0,0,4,Electrical,1,9,11117.79,5.3,2025-12-25,Routine backlog monitoring
PROP-0087,599 4 AVENUE,Brooklyn,SUNSET PARK,Mixed-Use Condo,Jordan Lee,20,2,1,1,18,1,0,0,3,Common Area,1,9,10307.66,5.1,2025-12-27,Routine backlog monitoring
PROP-0066,40 BOND STREET,Manhattan,GREENWICH VILLAGE-CENTRAL,Multifamily Condo,Morgan Patel,16,2,1,1,14,2,0,0,1,Plumbing,1,8,8857.32,7.7,2025-10-22,Routine backlog monitoring
PROP-0080,380 KINGS HIGHWAY,Brooklyn,GRAVESEND,Multifamily Condo,Morgan Patel,12,2,1,1,10,1,0,0,3,Electrical,1,8,4774.86,6.9,2025-12-27,Routine backlog monitoring
PROP-0153,2280 FREDERICK DOUGLASS BLVD,Manhattan,HARLEM-CENTRAL,Multifamily Condo,Jordan Lee,25,1,0,1,24,5,0,2,2,Janitorial,1,9,24927.99,7.6,2025-12-27,Immediate backlog review
PROP-0029,3435 GUIDER AVENUE,Brooklyn,SHEEPSHEAD BAY,Multifamily Condo,Samira Khan,10,1,0,1,9,3,0,1,5,Tenant Request,1,8,10974.76,6.8,2025-12-02,Immediate backlog review
PROP-0004,21 EAST 66 STREET,Manhattan,UPPER EAST SIDE (59-79),Multifamily Condo,Jordan Lee,13,1,0,1,12,1,0,0,3,Janitorial,1,8,9458.45,4.7,2025-12-16,Routine backlog monitoring
PROP-0015,38-22 147 STREET,Queens,FLUSHING-NORTH,Multifamily Condo,Jordan Lee,13,1,0,1,12,3,0,0,5,Electrical,1,8,9343.78,8.1,2025-12-18,Elevated backlog monitoring
PROP-0162,56 COURT STREET,Brooklyn,BROOKLYN HEIGHTS,Multifamily Condo,Drew Thompson,15,1,0,1,14,2,0,0,6,Electrical,1,7,8708.73,6.0,2025-11-08,Elevated backlog monitoring
PROP-0021,1765 EAST 19 STREET,Brooklyn,MADISON,Multifamily Condo,Drew Thompson,13,1,1,0,12,0,0,0,2,Security,1,5,8706.96,6.3,2025-11-25,Routine backlog monitoring
PROP-0071,218 WEST 14 STREET,Manhattan,GREENWICH VILLAGE-WEST,Residential Condo,Samira Khan,17,1,1,0,16,2,0,0,3,Tenant Request,1,7,8666.77,4.2,2025-12-06,Routine backlog monitoring
PROP-0116,1835 EAST 14 STREET,Brooklyn,MADISON,Multifamily Condo,Casey Rivera,10,1,1,0,9,3,0,0,4,Electrical,1,7,8222.4,5.9,2025-11-09,Routine backlog monitoring
PROP-0137,94-22 55 AVENUE,Queens,ELMHURST,Retail-Adjacent Condo,Samira Khan,12,1,1,0,11,3,0,0,3,Common Area,1,8,6945.21,10.2,2025-10-02,Routine backlog monitoring
PROP-0012,724 EAST 221 STREET,Bronx,WILLIAMSBRIDGE,Residential Condo,Jordan Lee,6,1,1,0,5,0,0,0,0,Electrical,1,6,4259.24,3.2,2025-11-15,Routine backlog monitoring
PROP-0024,359 16 STREET,Brooklyn,PARK SLOPE SOUTH,Retail-Adjacent Condo,Taylor Morgan,10,1,0,1,9,3,0,0,1,Security,1,5,3502.83,7.7,2025-12-18,Routine backlog monitoring
PROP-0035,2833 FORD STREET,Brooklyn,SHEEPSHEAD BAY,Residential Condo,Samira Khan,6,0,0,0,6,2,0,1,2,,,5,8017.82,7.2,2025-11-02,Immediate backlog review
PROP-0017,316 WEST 116 STREET,Manhattan,MANHATTAN VALLEY,Multifamily Condo,Samira Khan,17,0,0,0,17,2,0,1,3,,,8,6666.84,7.9,2025-11-10,Immediate backlog review
PROP-0127,4721 8 AVENUE,Brooklyn,BOROUGH PARK,Residential Condo,Casey Rivera,14,0,0,0,14,1,0,0,2,,,7,8152.06,7.8,2025-12-23,No active backlog
PROP-0165,102 MADISON STREET,Manhattan,LOWER EAST SIDE,Mixed-Use Condo,Riley Chen,7,0,0,0,7,0,0,0,1,,,5,3564.61,6.0,2025-09-10,No active backlog
