property_id,property_address,borough,neighborhood,asset_type,property_manager_name,months_reported,total_budget_income,total_actual_income,total_income_variance,income_budget_status,total_budget_expenses,total_actual_expenses,total_expense_variance,expense_budget_status,total_noi,total_ebitda,average_occupancy_rate,latest_month,latest_income_variance,latest_income_variance_pct,latest_expense_variance,latest_expense_variance_pct,latest_noi,prior_month_noi,latest_noi_change,noi_trend_status,latest_ebitda,prior_month_ebitda,latest_ebitda_change,ebitda_trend_status,budget_variance_priority
PROP-0171,25 CENTRAL PARK WEST,Manhattan,UPPER WEST SIDE (59-79),Mixed-Use Condo,Cameron Brooks,12,44126169.12,41814539.22,-2311629.9,Under income budget,11031542.28,12686635.3,1655093.03,Over expense budget,29127903.9,27735923.62,0.9447,2025-12-01,-287505.78,-0.0788,89337.55,0.0951,2333560.06,2387422.72,-53862.66,Declining NOI,2193165.78,2278130.39,-84964.61,Declining EBITDA,Management review recommended
PROP-0170,465 WEST 23 STREET,Manhattan,CHELSEA,Mixed-Use Condo,Casey Rivera,12,33993967.56,31271407.03,-2722560.53,Under income budget,10250503.07,11784714.4,1534211.32,Over expense budget,19486692.65,18366482.97,0.9204,2025-12-01,-241036.73,-0.0857,117680.23,0.1348,1580164.69,1581885.87,-1721.18,Declining NOI,1472171.63,1485130.03,-12958.4,Declining EBITDA,Management review recommended
PROP-0132,1 CENTRAL PARK WEST,Manhattan,UPPER WEST SIDE (59-79),Multifamily Condo,Taylor Morgan,12,28577102.04,26703830.62,-1873271.43,Under income budget,9463579.96,10809634.14,1346054.19,Over expense budget,15894196.49,14954939.82,0.9411,2025-12-01,-211887.67,-0.0896,114966.39,0.1427,1231004.38,1303107.85,-72103.47,Declining NOI,1151988.94,1241303.67,-89314.73,Declining EBITDA,Management review recommended
PROP-0016,252 7 AVENUE,Manhattan,CHELSEA,Multifamily Condo,Riley Chen,12,37878106.44,32076685.17,-5801421.26,Under income budget,10734573.29,12013212.88,1278639.59,Over expense budget,20063472.3,18895584.44,0.8442,2025-12-01,-388234.28,-0.1239,122914.5,0.1345,1707770.97,1675803.0,31967.97,Improving NOI,1621352.84,1600054.47,21298.37,Improving EBITDA,Management review recommended
PROP-0097,416 WEST 52 STREET,Manhattan,CLINTON,Multifamily Condo,Casey Rivera,12,13247523.12,12387760.65,-859762.45,Under income budget,3958377.24,4666323.37,707946.1,Over expense budget,7721437.3,7277927.69,0.9324,2025-12-01,-159165.95,-0.1453,56007.49,0.1662,543500.56,643872.33,-100371.77,Declining NOI,510455.18,612509.2,-102054.02,Declining EBITDA,Management review recommended
PROP-0135,160 WEST END AVENUE,Manhattan,UPPER WEST SIDE (59-79),Residential Condo,Avery Johnson,12,21017800.56,19503505.62,-1514294.92,Under income budget,8420199.14,9024445.43,604246.27,Over expense budget,10479060.2,9782774.37,0.9365,2025-12-01,-167761.52,-0.0965,83547.27,0.1165,770163.31,821392.53,-51229.22,Declining NOI,717012.64,754639.41,-37626.77,Declining EBITDA,Management review recommended
PROP-0082,415 EAST 54 STREET,Manhattan,MIDTOWN EAST,Multifamily Condo,Riley Chen,12,9081382.84,8621423.93,-459958.91,Under income budget,3491081.91,3826569.99,335488.08,Over expense budget,4794853.92,4498603.79,0.9432,2025-12-01,-106471.86,-0.1418,35657.06,0.12,311754.95,388190.95,-76436.0,Declining NOI,291858.76,361301.57,-69442.81,Declining EBITDA,Management review recommended
PROP-0079,200 EAST 94 STREET,Manhattan,UPPER EAST SIDE (79-96),Multifamily Condo,Morgan Patel,12,19938939.72,18343114.83,-1595824.9,Under income budget,7237809.65,7531521.32,293711.66,Over expense budget,10811593.5,10184168.92,0.9297,2025-12-01,-37593.37,-0.0228,-17602.13,-0.0286,1012915.82,878231.94,134683.88,Improving NOI,953772.21,839385.35,114386.86,Improving EBITDA,Management review recommended
PROP-0106,467 CENTRAL PARK WEST,Manhattan,MANHATTAN VALLEY,Multifamily Condo,Cameron Brooks,12,4228777.68,3910700.1,-318077.6,Under income budget,1626401.09,1909883.74,283482.66,Over expense budget,2000816.32,1859702.54,0.9229,2025-12-01,-41648.35,-0.1191,30739.01,0.222,138899.98,157249.11,-18349.13,Declining NOI,127874.33,146996.59,-19122.26,Declining EBITDA,Management review recommended
PROP-0046,755 KENT AVENUE,Brooklyn,WILLIAMSBURG-CENTRAL,Mixed-Use Condo,Riley Chen,12,5628876.72,5290414.18,-338462.56,Under income budget,2357375.66,2628724.21,271348.51,Over expense budget,2661689.98,2487778.2,0.9355,2025-12-01,-40251.04,-0.0865,2010.61,0.01,222592.16,256881.17,-34289.01,Declining NOI,203455.32,243118.52,-39663.2,Declining EBITDA,Management review recommended
PROP-0111,260 PARK AVENUE SOUTH,Manhattan,FLATIRON,Mixed-Use Condo,Casey Rivera,12,10088159.16,9420941.38,-667217.78,Under income budget,2941591.32,3210331.97,268740.65,Over expense budget,6210609.4,5898115.37,0.9359,2025-12-01,-4558.95,-0.0055,35594.14,0.1421,543781.85,551822.72,-8040.87,Declining NOI,516789.72,532154.76,-15365.04,Declining EBITDA,Management review recommended
PROP-0037,429 GREENWICH STREET,Manhattan,TRIBECA,Multifamily Condo,Jordan Lee,12,3573765.6,3334535.81,-239229.78,Under income budget,1297594.08,1535802.68,238208.61,Over expense budget,1798733.12,1685048.66,0.9409,2025-12-01,-27883.51,-0.0943,18240.02,0.1651,138982.68,127120.19,11862.49,Improving NOI,131597.23,118359.39,13237.84,Improving EBITDA,Management review recommended
PROP-0129,520 EAST 81 STREET,Manhattan,UPPER EAST SIDE (79-96),Residential Condo,Jordan Lee,12,5945723.11,5527229.98,-418493.15,Under income budget,2086596.36,2313780.03,227183.67,Over expense budget,3213449.96,3031770.94,0.9339,2025-12-01,-37553.89,-0.0764,22666.95,0.1276,253892.31,291244.25,-37351.94,Declining NOI,239536.38,276680.41,-37144.03,Declining EBITDA,Management review recommended
PROP-0169,885 AVENUE OF THE AMERICA,Manhattan,FASHION,Multifamily Condo,Samira Khan,12,15201598.11,14361785.01,-839813.09,Under income budget,4380054.97,4604699.23,224644.23,Over expense budget,9757085.8,9274986.93,0.9366,2025-12-01,-81914.56,-0.0652,-14342.62,-0.0385,816819.74,828887.76,-12068.02,Declining NOI,770023.25,796323.53,-26300.28,Declining EBITDA,Management review recommended
PROP-0091,321 5 AVENUE,Manhattan,MURRAY HILL,Residential Condo,Taylor Morgan,12,27740457.24,25907486.47,-1832970.75,Under income budget,6935114.31,7147617.73,212503.44,Over expense budget,18759868.73,17845942.53,0.9467,2025-12-01,-62896.41,-0.0274,-29718.52,-0.0503,1670750.43,1515110.7,155639.73,Improving NOI,1580720.82,1440761.32,139959.5,Improving EBITDA,Management review recommended
PROP-0049,220 EAST 60 STREET,Manhattan,UPPER EAST SIDE (59-79),Retail-Adjacent Condo,Avery Johnson,12,6209345.66,5789764.93,-419580.74,Under income budget,1644865.71,1849837.27,204971.54,Over expense budget,3939927.65,3761262.72,0.9334,2025-12-01,-40398.2,-0.0787,13316.46,0.0951,319810.13,303218.7,16591.43,Improving NOI,304470.23,288371.32,16098.91,Improving EBITDA,Management review recommended
PROP-0166,207 EAST 57 STREET,Manhattan,MIDTOWN EAST,Multifamily Condo,Drew Thompson,12,6344033.88,5312855.36,-1031178.52,Under income budget,1878059.69,2058872.21,180812.52,Over expense budget,3253983.17,3064847.49,0.8432,2025-12-01,-150197.46,-0.2863,-4889.55,-0.0306,219503.16,276723.39,-57220.23,Declining NOI,202753.6,259603.36,-56849.76,Declining EBITDA,Management review recommended
PROP-0133,9 BARROW STREET,Manhattan,GREENWICH VILLAGE-WEST,Residential Condo,Cameron Brooks,12,4438617.17,4160269.09,-278348.1,Under income budget,1155889.91,1325703.92,169814.03,Over expense budget,2834565.16,2684719.63,0.9431,2025-12-01,-43574.73,-0.1187,15810.42,0.1607,209315.84,228142.94,-18827.1,Declining NOI,199201.14,216810.08,-17608.94,Declining EBITDA,Management review recommended
PROP-0036,130 BRADHURST AVENUE,Manhattan,HARLEM-CENTRAL,Multifamily Condo,Drew Thompson,12,5748559.44,4869198.31,-879361.14,Under income budget,2380854.16,2543562.51,162708.36,Over expense budget,2325635.79,2156592.99,0.8458,2025-12-01,-88805.76,-0.1868,13403.85,0.0661,170544.06,175174.62,-4630.56,Declining NOI,158808.82,161597.24,-2788.42,Declining EBITDA,Management review recommended
PROP-0028,40-01 LITTLE NECK PARKWAY,Queens,LITTLE NECK,Multifamily Condo,Cameron Brooks,12,1535028.0,1443221.01,-91806.97,Under income budget,784440.4,939894.04,155453.65,Over expense budget,503326.99,450435.74,0.9402,2025-12-01,-10677.9,-0.0841,12044.66,0.1803,37451.72,41931.17,-4479.45,Declining NOI,32376.49,37639.6,-5263.11,Declining EBITDA,Management review recommended
PROP-0138,63-36 99 STREET,Queens,REGO PARK,Multifamily Condo,Cameron Brooks,12,3989160.72,3771366.46,-217794.28,Under income budget,1139763.17,1281322.33,141559.16,Over expense budget,2490044.12,2353434.8,0.9483,2025-12-01,-14858.26,-0.045,16192.38,0.1669,201849.55,204808.44,-2958.89,Declining NOI,188057.49,192486.9,-4429.41,Declining EBITDA,Management review recommended
PROP-0140,80 RICHMOND HILL ROAD,Staten Island,NEW SPRINGVILLE,Multifamily Condo,Taylor Morgan,12,3728026.13,3466813.64,-261212.5,Under income budget,1352169.12,1490463.61,138294.54,Over expense budget,1976350.03,1855099.99,0.9298,2025-12-01,-13753.63,-0.0446,22949.67,0.1994,156515.17,174161.29,-17646.12,Declining NOI,146380.92,164910.0,-18529.08,Declining EBITDA,Management review recommended
PROP-0060,200 EAST 58 STREET,Manhattan,MIDTOWN EAST,Multifamily Condo,Casey Rivera,12,6797044.68,6393358.13,-403686.55,Under income budget,2235428.59,2368673.37,133244.81,Over expense budget,4024684.74,3797255.52,0.9467,2025-12-01,-50592.65,-0.09,18884.32,0.0992,302376.35,366179.41,-63803.06,Declining NOI,287454.08,342184.43,-54730.35,Declining EBITDA,Management review recommended
PROP-0048,220 WEST 148 STREET,Manhattan,HARLEM-CENTRAL,Multifamily Condo,Taylor Morgan,12,3706251.84,3454997.04,-251254.79,Under income budget,1416456.67,1540197.27,123740.61,Over expense budget,1914799.76,1794698.08,0.937,2025-12-01,-26906.94,-0.0878,640.1,0.0053,158397.22,128614.09,29783.13,Improving NOI,150615.2,119892.73,30722.47,Improving EBITDA,Management review recommended
PROP-0078,250 EAST HOUSTON STREET,Manhattan,ALPHABET CITY,Multifamily Condo,Avery Johnson,12,7317989.64,6766777.5,-551212.11,Under income budget,1829497.39,1949364.49,119867.09,Over expense budget,4817413.03,4584209.78,0.9256,2025-12-01,-112276.69,-0.1855,18831.64,0.1209,318391.46,376862.32,-58470.86,Declining NOI,296934.97,362734.35,-65799.38,Declining EBITDA,Management review recommended
PROP-0002,7 NAVY PIER COURT,Staten Island,TOMPKINSVILLE,Mixed-Use Condo,Cameron Brooks,12,11009790.0,10263922.48,-745867.53,Under income budget,4206472.27,4326326.16,119853.89,Over expense budget,5937596.32,5587462.39,0.9425,2025-12-01,-32131.73,-0.0353,3720.69,0.0104,516620.2,465840.44,50779.76,Improving NOI,488781.0,440325.02,48455.98,Improving EBITDA,Management review recommended
PROP-0119,318 WARREN STREET,Brooklyn,BOERUM HILL,Retail-Adjacent Condo,Nadia Williams,12,2119205.71,1982040.26,-137165.44,Under income budget,684605.3,801907.9,117302.59,Over expense budget,1180132.37,1106910.91,0.9359,2025-12-01,-8155.38,-0.0465,8869.95,0.1522,99965.02,82205.45,17759.57,Improving NOI,93464.19,77409.76,16054.43,Improving EBITDA,Management review recommended
PROP-0142,83-09 TALBOT STREET,Queens,KEW GARDENS,Multifamily Condo,Taylor Morgan,12,3352945.44,3177811.03,-175134.42,Under income budget,1233005.61,1343370.97,110365.36,Over expense budget,1834440.07,1729314.62,0.9481,2025-12-01,-17546.75,-0.0633,6234.54,0.0594,148560.16,142886.04,5674.12,Improving NOI,139781.3,133368.27,6413.03,Improving EBITDA,Management review recommended
PROP-0118,195 HUDSON STREET,Manhattan,TRIBECA,Multifamily Condo,Riley Chen,12,4255297.44,4027197.2,-228100.22,Under income budget,1394077.96,1503305.08,109227.12,Over expense budget,2523892.13,2388974.06,0.9429,2025-12-01,-9937.58,-0.0282,12334.01,0.1039,210988.58,193444.83,17543.75,Improving NOI,199887.9,184413.68,15474.22,Improving EBITDA,Management review recommended
PROP-0069,90 BAY STREET LANDING,Staten Island,NEW BRIGHTON-ST. GEORGE,Multifamily Condo,Jordan Lee,12,3443748.12,3207427.83,-236320.28,Under income budget,1754258.81,1861720.46,107461.66,Over expense budget,1345707.37,1228400.26,0.9306,2025-12-01,-28746.92,-0.1009,7490.57,0.0502,99235.88,110725.28,-11489.4,Declining NOI,90262.6,101520.05,-11257.45,Declining EBITDA,Management review recommended
PROP-0066,40 BOND STREET,Manhattan,GREENWICH VILLAGE-CENTRAL,Multifamily Condo,Morgan Patel,12,5206043.52,4797553.29,-408490.23,Under income budget,1605803.03,1712374.65,106571.67,Over expense budget,3085178.61,2925122.86,0.9298,2025-12-01,-60169.86,-0.1397,5899.29,0.0432,227799.89,255547.09,-27747.2,Declining NOI,215946.96,238189.32,-22242.36,Declining EBITDA,Management review recommended
PROP-0161,491 GREENWICH STREET,Manhattan,SOHO,Multifamily Condo,Samira Khan,12,3457928.4,3230692.11,-227236.29,Under income budget,1035268.3,1141459.72,106191.44,Over expense budget,2089232.42,1971705.78,0.9478,2025-12-01,-20898.98,-0.0731,4788.27,0.0543,172172.04,163737.01,8435.03,Improving NOI,162194.79,157104.56,5090.23,Improving EBITDA,Management review recommended
PROP-0145,255 WEST 84 STREET,Manhattan,UPPER WEST SIDE (79-96),Multifamily Condo,Taylor Morgan,12,6254048.88,5764479.55,-489569.33,Under income budget,1563512.21,1669472.11,105959.9,Over expense budget,4095007.44,3881188.75,0.9224,2025-12-01,-53787.64,-0.104,3339.61,0.0251,327021.1,347998.84,-20977.74,Declining NOI,312907.14,332108.88,-19201.74,Declining EBITDA,Management review recommended
PROP-0113,205 EAST 22 STREET,Manhattan,GRAMERCY,Multifamily Condo,Jordan Lee,12,5289981.96,5039033.66,-250948.3,Under income budget,1977983.26,2082304.5,104321.25,Over expense budget,2956729.13,2781486.2,0.9464,2025-12-01,-17969.21,-0.0411,-13215.57,-0.0785,264371.29,247026.9,17344.39,Improving NOI,253809.67,231378.76,22430.91,Improving EBITDA,Management review recommended
PROP-0033,550 VANDERBILT AVENUE,Brooklyn,PROSPECT HEIGHTS,Multifamily Condo,Nadia Williams,12,13411931.76,12881385.19,-530546.56,Under income budget,3729169.32,3832100.2,102930.88,Over expense budget,9049284.98,8618985.02,0.9511,2025-12-01,-30926.72,-0.0279,33196.13,0.1046,727663.33,736427.64,-8764.31,Declining NOI,691638.46,705300.56,-13662.1,Declining EBITDA,Management review recommended
PROP-0040,44 BUTLER PLACE,Brooklyn,PROSPECT HEIGHTS,Mixed-Use Condo,Morgan Patel,12,1951705.68,1842957.59,-108748.08,Under income budget,986437.55,1086452.91,100015.39,Over expense budget,756504.72,690457.35,0.9505,2025-12-01,-5065.52,-0.0314,4468.01,0.0532,67905.92,64666.25,3239.67,Improving NOI,61820.72,57942.69,3878.03,Improving EBITDA,Management review recommended
PROP-0034,525 PARK AVENUE,Manhattan,UPPER EAST SIDE (59-79),Retail-Adjacent Condo,Samira Khan,12,5456886.72,5153629.17,-303257.56,Under income budget,1770464.92,1870021.22,99556.3,Over expense budget,3283607.96,3097961.78,0.9454,2025-12-01,-22084.14,-0.0489,-6423.77,-0.0426,284936.58,238014.22,46922.36,Improving NOI,267100.7,225157.32,41943.38,Improving EBITDA,Management review recommended
PROP-0031,40 WEST 55 STREET,Manhattan,MIDTOWN WEST,Residential Condo,Riley Chen,12,2686996.08,2553473.51,-133522.57,Under income budget,1070733.17,1166278.04,95544.87,Over expense budget,1387195.45,1297339.58,0.951,2025-12-01,-9806.75,-0.0441,10695.11,0.1173,110575.5,124017.84,-13442.34,Declining NOI,102952.86,117801.14,-14848.28,Declining EBITDA,Management review recommended
PROP-0125,48 BEACH STREET,Manhattan,TRIBECA,Multifamily Condo,Avery Johnson,12,4870607.04,4474227.16,-396379.88,Under income budget,1800380.28,1894946.58,94566.28,Over expense budget,2579280.59,2436123.31,0.9259,2025-12-01,6001.0,0.0149,7440.9,0.0485,248119.92,215781.57,32338.35,Improving NOI,235557.65,205701.74,29855.91,Improving EBITDA,Management review recommended
PROP-0158,31 NORTH MOORE STREET,Manhattan,TRIBECA,Multifamily Condo,Avery Johnson,12,4257243.24,3952666.02,-304577.22,Under income budget,1236656.52,1328592.25,91935.73,Over expense budget,2624073.78,2500062.27,0.9345,2025-12-01,-26434.78,-0.0751,8092.76,0.0769,212296.04,211383.78,912.26,Improving NOI,202796.0,203089.27,-293.27,Declining EBITDA,Management review recommended
PROP-0107,2 ELMWOOD PARK DRIVE,Staten Island,NEW SPRINGVILLE,Residential Condo,Jordan Lee,12,3845461.08,3569209.1,-276251.99,Under income budget,1817183.5,1907511.44,90327.93,Over expense budget,1661697.66,1539993.55,0.9346,2025-12-01,-10376.93,-0.0326,20996.9,0.1357,131967.29,121996.67,9970.62,Improving NOI,120377.45,110562.75,9814.7,Improving EBITDA,Management review recommended
PROP-0112,45 EAST 80 STREET,Manhattan,UPPER EAST SIDE (79-96),Multifamily Condo,Riley Chen,12,6635003.52,6314785.74,-320217.79,Under income budget,1658750.88,1742011.99,83261.1,Over expense budget,4572773.75,4356976.86,0.9472,2025-12-01,-30056.2,-0.0548,-74.22,-0.0005,377566.12,332465.8,45100.32,Improving NOI,361548.8,314799.59,46749.21,Improving EBITDA,Management review recommended
PROP-0004,21 EAST 66 STREET,Manhattan,UPPER EAST SIDE (59-79),Multifamily Condo,Jordan Lee,12,2555600.88,2221666.34,-333934.54,Under income budget,638900.23,721172.25,82272.03,Over expense budget,1500494.08,1427957.21,0.8657,2025-12-01,-25489.55,-0.1206,7817.33,0.1437,123668.21,119686.21,3982.0,Improving NOI,116836.48,114591.48,2245.0,Improving EBITDA,Management review recommended
PROP-0013,125 NORTH 10 STREET,Brooklyn,WILLIAMSBURG-NORTH,Multifamily Condo,Nadia Williams,12,3006038.04,2631904.9,-374133.16,Under income budget,1219455.65,1299340.67,79885.02,Over expense budget,1332564.2,1239474.46,0.8702,2025-12-01,-26783.8,-0.1077,13257.9,0.1277,104761.22,108974.7,-4213.48,Declining NOI,96918.27,100213.82,-3295.55,Declining EBITDA,Management review recommended
PROP-0075,61-05 39 AVENUE,Queens,WOODSIDE,Multifamily Condo,Morgan Patel,12,2164254.36,1975619.06,-188635.28,Under income budget,903627.48,980890.81,77263.32,Over expense budget,994728.27,926567.46,0.9207,2025-12-01,-5629.35,-0.0314,2463.95,0.032,93975.94,83821.46,10154.48,Improving NOI,88624.97,78998.46,9626.51,Improving EBITDA,Management review recommended
PROP-0109,121 WELLINGTON COURT,Staten Island,NEW SPRINGVILLE,Multifamily Condo,Drew Thompson,12,1345565.52,1271988.44,-73577.07,Under income budget,607471.08,683986.06,76514.96,Over expense budget,588002.39,546871.28,0.9442,2025-12-01,-10592.81,-0.0952,10810.6,0.209,38167.46,47793.22,-9625.76,Declining NOI,35351.84,44571.85,-9220.01,Declining EBITDA,Management review recommended
PROP-0104,10 NEVINS STREET,Brooklyn,DOWNTOWN-FULTON MALL,Residential Condo,Nadia Williams,12,9559588.92,8908204.01,-651384.91,Under income budget,2728142.3,2800996.25,72853.92,Over expense budget,6107207.79,5759348.77,0.9363,2025-12-01,-57829.65,-0.0731,6189.35,0.0266,494371.31,499762.05,-5390.74,Declining NOI,471757.1,469905.23,1851.87,Improving EBITDA,Management review recommended
PROP-0010,72 BERRY STREET,Brooklyn,WILLIAMSBURG-NORTH,Multifamily Condo,Cameron Brooks,12,1263064.66,1209109.1,-53955.54,Under income budget,416115.19,488807.99,72692.77,Over expense budget,720301.12,677234.96,0.9552,2025-12-01,-4707.33,-0.0451,7239.43,0.2043,57092.18,63643.41,-6551.23,Declining NOI,52661.71,60400.63,-7738.92,Declining EBITDA,Management review recommended
PROP-0084,886 WESTCHESTER AVENUE,Bronx,MORRISANIA/LONGWOOD,Multifamily Condo,Avery Johnson,12,1439514.48,1386218.82,-53295.65,Under income budget,563301.33,633687.92,70386.6,Over expense budget,752530.89,702542.67,0.9545,2025-12-01,1753.59,0.0147,7449.06,0.1553,65406.27,68748.57,-3342.3,Declining NOI,60119.28,63856.19,-3736.91,Declining EBITDA,Management review recommended
PROP-0159,79 LAIGHT STREET,Manhattan,TRIBECA,Multifamily Condo,Jordan Lee,12,4736069.64,4450414.08,-285655.57,Under income budget,1184017.41,1254257.62,70240.2,Over expense budget,3196156.48,3044425.38,0.9472,2025-12-01,-29668.35,-0.0757,4445.66,0.0441,256794.07,271374.83,-14580.76,Declining NOI,247317.91,259899.73,-12581.82,Declining EBITDA,Management review recommended
PROP-0089,136-17 MAPLE AVENUE,Queens,FLUSHING-NORTH,Multifamily Condo,Jordan Lee,12,2552196.48,2387326.32,-164870.15,Under income budget,1060904.98,1129720.99,68816.03,Over expense budget,1257605.32,1171311.12,0.9366,2025-12-01,-17825.93,-0.0844,-4449.64,-0.0493,107388.77,97890.48,9498.29,Improving NOI,100030.84,91434.35,8596.49,Improving EBITDA,Management review recommended
PROP-0077,510 EAST 80 STREET,Manhattan,UPPER EAST SIDE (79-96),Residential Condo,Casey Rivera,12,4604040.72,4389738.33,-214302.39,Under income budget,1151010.19,1214220.07,63209.9,Over expense budget,3175518.25,3017366.65,0.9484,2025-12-01,-8834.78,-0.0232,5171.37,0.0528,268792.19,241776.36,27015.83,Improving NOI,252939.47,231501.69,21437.78,Improving EBITDA,Management review recommended
PROP-0126,31-35 31 STREET,Queens,ASTORIA,Multifamily Condo,Nadia Williams,12,2117544.12,1988528.87,-129015.26,Under income budget,681644.69,742941.44,61296.76,Over expense budget,1245587.42,1173358.2,0.9403,2025-12-01,-20040.39,-0.1144,472.12,0.0081,96592.48,94265.72,2326.76,Improving NOI,89644.21,89249.95,394.26,Improving EBITDA,Management review recommended
PROP-0008,145 LINCOLN AVENUE,Staten Island,GRANT CITY,Multifamily Condo,Morgan Patel,12,3221511.96,3002666.9,-218845.06,Under income budget,1245099.41,1304769.95,59670.53,Over expense budget,1697896.96,1598194.89,0.941,2025-12-01,-11505.11,-0.0432,5730.92,0.0541,143205.14,126687.81,16517.33,Improving NOI,135421.52,120407.8,15013.72,Improving EBITDA,Management review recommended
PROP-0052,150 EAST 37 STREET,Manhattan,MURRAY HILL,Mixed-Use Condo,Riley Chen,12,2820420.36,2658176.35,-162244.01,Under income budget,705105.08,763033.82,57928.73,Over expense budget,1895142.54,1806192.22,0.9494,2025-12-01,-10556.27,-0.0453,2493.16,0.0415,160191.92,166122.07,-5930.15,Declining NOI,152574.62,157895.31,-5320.69,Declining EBITDA,Management review recommended
