property_id,source_boro_block_lot,address,borough,neighborhood,building_classification,asset_type,total_units,year_built,gross_sqft,base_estimated_gross_income,base_estimated_expense,base_net_operating_income,base_full_market_value,source_report_year,property_manager_id,client_account_id,asset_status,source_dataset,source_is_real
PROP-0001,1-00171-7502,354 BROADWAY,Manhattan,CHINATOWN,R4-ELEVATOR,Mixed-Use Condo,12,1900,41204,1606132,449948,1156184,9249000,2017,PM-007,CLIENT-014,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0002,5-00487-7501,7 NAVY PIER COURT,Staten Island,TOMPKINSVILLE,RR  -CONRENT,Mixed-Use Condo,467,2014,361176,8516530,3564807,4951723,39042000,2019,PM-009,CLIENT-008,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0003,1-00418-7501,113 ELDRIDGE STREET,Manhattan,LOWER EAST SIDE,R4  -ELEVATOR,Mixed-Use Condo,12,2002,7042,343298,98518,244780,1969999,2018,PM-006,CLIENT-010,Value-Add,NYC DOF Condominium Comparable Rental Income,True
PROP-0004,1-01381-7504,21 EAST 66 STREET,Manhattan,UPPER EAST SIDE (59-79),R4  -ELEVATOR,Multifamily Condo,19,1941,43682,2091057,397506,1693551,13631002,2018,PM-003,CLIENT-007,Lease-Up,NYC DOF Condominium Comparable Rental Income,True
PROP-0005,1-02092-7501,680 RIVERSIDE DRIVE,Manhattan,HARLEM-UPPER,R4  -ELEVATOR,Residential Condo,25,1926,24132,571204,209948,361256,2851002,2019,PM-005,CLIENT-011,Lease-Up,NYC DOF Condominium Comparable Rental Income,True
PROP-0006,5-00230-7501,999 FOREST AVENUE,Staten Island,WEST NEW BRIGHTON,R4  -ELEVATOR,Multifamily Condo,44,1989,28943,591595,205785,385810,2962998,2019,PM-008,CLIENT-011,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0007,1-01756-7502,51 EAST 131 STREET,Manhattan,HARLEM-CENTRAL,R4  -ELEVATOR,Residential Condo,39,2015,27012,1169349,316851,852498,6861994,2018,PM-005,CLIENT-009,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0008,5-03585-7502,145 LINCOLN AVENUE,Staten Island,GRANT CITY,R4  -ELEVATOR,Multifamily Condo,148,1964,133735,2512881,1055169,1457712,10983002,2019,PM-002,CLIENT-007,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0009,1-01458-7501,1154 1 AVENUE,Manhattan,UPPER EAST SIDE (59-79),R9  -CONDOPS,Residential Condo,16,1910,12000,454200,173880,280320,2277000,2019,PM-003,CLIENT-011,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0010,3-02303-7501,72 BERRY STREET,Brooklyn,WILLIAMSBURG-NORTH,R4  -ELEVATOR,Multifamily Condo,26,1910,35801,1080474,352640,727834,5911001,2019,PM-009,CLIENT-002,Watchlist,NYC DOF Condominium Comparable Rental Income,True
PROP-0011,3-02469-7501,24 DUNHAM PLACE,Brooklyn,WILLIAMSBURG-SOUTH,R4  -ELEVATOR,Residential Condo,14,2005,13881,370345,157966,212379,1705002,2019,PM-006,CLIENT-001,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0012,2-04668-7501,724 EAST 221 STREET,Bronx,WILLIAMSBRIDGE,R4  -ELEVATOR,Residential Condo,24,2005,29320,472932,228403,244529,1769990,2019,PM-003,CLIENT-008,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0013,3-02297-7502,125 NORTH 10 STREET,Brooklyn,WILLIAMSBURG-NORTH,R4  -ELEVATOR,Multifamily Condo,86,2007,85905,2421662,1033437,1388225,11173997,2018,PM-010,CLIENT-007,Lease-Up,NYC DOF Condominium Comparable Rental Income,True
PROP-0014,4-02869-7501,56-16 SEABURY STREET,Queens,ELMHURST,R2  -WALK-UP,Multifamily Condo,9,1987,8100,161109,71766,89343,682001,2019,PM-007,CLIENT-009,Value-Add,NYC DOF Condominium Comparable Rental Income,True
PROP-0015,4-05024-7504,38-22 147 STREET,Queens,FLUSHING-NORTH,R4  -ELEVATOR,Multifamily Condo,32,2002,22936,560326,205507,354819,2813003,2019,PM-003,CLIENT-006,Lease-Up,NYC DOF Condominium Comparable Rental Income,True
PROP-0016,1-00774-7501,252 7 AVENUE,Manhattan,CHELSEA,R4-ELEVATOR,Multifamily Condo,351,1910,552679,30861595,9097096,21764499,174101987,2017,PM-006,CLIENT-005,Lease-Up,NYC DOF Condominium Comparable Rental Income,True
PROP-0017,1-01848-7502,316 WEST 116 STREET,Manhattan,MANHATTAN VALLEY,R4  -ELEVATOR,Multifamily Condo,14,1900,24987,518980,238876,280104,2096003,2018,PM-008,CLIENT-015,Lease-Up,NYC DOF Condominium Comparable Rental Income,True
PROP-0018,4-16113-7502,260 BEACH 81 STREET,Queens,HAMMELS,R4  -ELEVATOR,Multifamily Condo,78,2005,86935,2004721,836315,1168406,9176040,2019,PM-008,CLIENT-015,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0019,3-02415-7501,29 SOUTH 3 STREET,Brooklyn,WILLIAMSBURG-SOUTH,R4  -ELEVATOR,Mixed-Use Condo,24,2009,26523,898599,316154,582445,4730000,2019,PM-006,CLIENT-004,Value-Add,NYC DOF Condominium Comparable Rental Income,True
PROP-0020,3-02406-7501,299 BEDFORD AVENUE,Brooklyn,WILLIAMSBURG-SOUTH,R4  -ELEVATOR,Retail-Adjacent Condo,32,2003,36768,1171796,373931,797865,6479999,2019,PM-006,CLIENT-001,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0021,3-06802-7501,1765 EAST 19 STREET,Brooklyn,MADISON,R4  -ELEVATOR,Multifamily Condo,11,2006,17080,334597,117852,216745,1649000,2019,PM-007,CLIENT-008,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0022,3-07298-7502,2408 OCEAN AVENUE,Brooklyn,MADISON,R4  -ELEVATOR,Multifamily Condo,21,2006,37641,801000,277791,523209,4048999,2019,PM-001,CLIENT-015,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0023,2-02875-7501,150 FEATHERBED LANE,Bronx,HIGHBRIDGE/MORRIS HEIGHTS,R9  -CONDOPS,Multifamily Condo,51,2009,70316,1096930,431740,665190,4769000,2019,PM-007,CLIENT-013,Lease-Up,NYC DOF Condominium Comparable Rental Income,True
PROP-0024,3-01104-7505,359 16 STREET,Brooklyn,PARK SLOPE SOUTH,R2  -WALK-UP,Retail-Adjacent Condo,12,2006,13550,403655,142817,260838,2117999,2019,PM-005,CLIENT-013,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0025,3-00945-7501,100 STERLING PLACE,Brooklyn,PARK SLOPE,R4  -ELEVATOR,Multifamily Condo,36,1990,38431,1213267,475391,737876,5992998,2019,PM-007,CLIENT-005,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0026,3-01899-7503,94 SKILLMAN STREET,Brooklyn,BEDFORD STUYVESANT,R4  -ELEVATOR,Multifamily Condo,12,2002,17354,428297,145253,283044,2248000,2019,PM-003,CLIENT-001,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0027,1-00572-7502,30 WEST 9 STREET,Manhattan,GREENWICH VILLAGE-CENTRAL,R2  -WALK-UP,Multifamily Condo,18,1900,14398,648342,244046,404296,3283000,2019,PM-007,CLIENT-009,Value-Add,NYC DOF Condominium Comparable Rental Income,True
PROP-0028,4-08136-7502,40-01 LITTLE NECK PARKWAY,Queens,LITTLE NECK,R9  -CONDOPS,Multifamily Condo,63,1941,61840,1254115,664780,589335,4617000,2018,PM-009,CLIENT-011,Value-Add,NYC DOF Condominium Comparable Rental Income,True
PROP-0029,3-08810-7506,3435 GUIDER AVENUE,Brooklyn,SHEEPSHEAD BAY,R4  -ELEVATOR,Multifamily Condo,10,2013,13439,314876,164493,150383,1185002,2019,PM-008,CLIENT-006,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0030,3-02419-7501,200 SOUTH 2 STREET,Brooklyn,WILLIAMSBURG-SOUTH,R2  -WALK-UP,Multifamily Condo,30,2005,30086,993139,389313,603826,4904002,2019,PM-001,CLIENT-012,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0031,1-01270-7501,40 WEST 55 STREET,Manhattan,MIDTOWN WEST,R4  -ELEVATOR,Residential Condo,35,1925,44350,2191777,907401,1284376,10430996,2019,PM-006,CLIENT-001,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0032,3-02044-7501,80 ADELPHI STREET,Brooklyn,FORT GREENE,R4  -ELEVATOR,Multifamily Condo,13,2007,9492,321874,108019,213855,1737001,2019,PM-009,CLIENT-013,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0033,3-01129-7501,550 VANDERBILT AVENUE,Brooklyn,PROSPECT HEIGHTS,R4  -ELEVATOR,Multifamily Condo,278,2015,351928,10916807,3160313,7756494,62993978,2019,PM-010,CLIENT-008,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0034,1-01395-7503,525 PARK AVENUE,Manhattan,UPPER EAST SIDE (59-79),R4  -ELEVATOR,Retail-Adjacent Condo,48,1915,100093,4477160,1500394,2976766,23960002,2018,PM-008,CLIENT-012,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0035,3-08804-7505,2833 FORD STREET,Brooklyn,SHEEPSHEAD BAY,R2  -WALK-UP,Residential Condo,7,2007,8498,195709,79711,115998,911000,2019,PM-008,CLIENT-011,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0036,1-02045-7503,130 BRADHURST AVENUE,Manhattan,HARLEM-CENTRAL,R9  -CONDOPS,Multifamily Condo,134,2007,161156,4792779,2017673,2775106,22538000,2019,PM-007,CLIENT-006,Lease-Up,NYC DOF Condominium Comparable Rental Income,True
PROP-0037,1-00219-7501,429 GREENWICH STREET,Manhattan,TRIBECA,R4-ELEVATOR,Multifamily Condo,28,1920,88897,2941602,1099656,1841946,14733997,2017,PM-003,CLIENT-013,Value-Add,NYC DOF Condominium Comparable Rental Income,True
PROP-0038,3-05590-7503,950 41 STREET,Brooklyn,BOROUGH PARK,R4  -ELEVATOR,Multifamily Condo,10,2010,12630,321939,140825,181114,1445002,2019,PM-006,CLIENT-002,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0039,3-06757-7504,1972 OCEAN AVENUE,Brooklyn,MIDWOOD,R4  -ELEVATOR,Mixed-Use Condo,8,2015,11121,222420,133452,88968,696001,2018,PM-007,CLIENT-006,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0040,3-01171-7501,44 BUTLER PLACE,Brooklyn,PROSPECT HEIGHTS,R4  -ELEVATOR,Mixed-Use Condo,60,1925,67038,1531148,835964,695184,5450999,2019,PM-002,CLIENT-010,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0041,1-01089-7501,601 WEST 41 STREET,Manhattan,CLINTON,R9  -CONDOPS,Multifamily Condo,83,2005,80136,3402575,1023337,2379238,19323000,2019,PM-010,CLIENT-005,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0042,1-00542-7501,205 BLEECKER STREET,Manhattan,GREENWICH VILLAGE-CENTRAL,R9  -CONDOPS,Multifamily Condo,24,1928,17842,806994,225880,581114,4720000,2019,PM-004,CLIENT-002,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0043,3-02266-7513,376 WALLABOUT STREET,Brooklyn,WILLIAMSBURG-CENTRAL,R4  -ELEVATOR,Mixed-Use Condo,18,2014,24358,683485,239196,444289,3588000,2019,PM-005,CLIENT-010,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0044,2-02724-7501,1019 SOUTHERN BOULEVARD,Bronx,MORRISANIA/LONGWOOD,RR  -CONRENT,Multifamily Condo,17,1909,11640,243043,85088,157955,1245000,2018,PM-001,CLIENT-007,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0045,1-00466-7502,55 3 AVENUE,Manhattan,EAST VILLAGE,RR  -CONRENT,Residential Condo,54,1986,51644,3067137,856258,2210879,17956000,2019,PM-004,CLIENT-011,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0046,3-02261-7501,755 KENT AVENUE,Brooklyn,WILLIAMSBURG-CENTRAL,R4  -ELEVATOR,Mixed-Use Condo,99,2014,144348,4756267,1997776,2758491,22404009,2019,PM-006,CLIENT-006,Value-Add,NYC DOF Condominium Comparable Rental Income,True
PROP-0047,2-05791-7501,3536 CAMBRIDGE AVENUE,Bronx,RIVERDALE,R4  -ELEVATOR,Residential Condo,31,2005,52918,1019730,486316,533414,4042999,2019,PM-007,CLIENT-007,Watchlist,NYC DOF Condominium Comparable Rental Income,True
PROP-0048,1-02033-7501,220 WEST 148 STREET,Manhattan,HARLEM-CENTRAL,R4  -ELEVATOR,Multifamily Condo,75,1903,81272,3057453,1200387,1857066,14923001,2018,PM-005,CLIENT-012,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0049,1-01414-7501,220 EAST 60 STREET,Manhattan,UPPER EAST SIDE (59-79),R4  -ELEVATOR,Retail-Adjacent Condo,137,1965,102271,5519566,1393954,4125612,33506003,2019,PM-001,CLIENT-009,Watchlist,NYC DOF Condominium Comparable Rental Income,True
PROP-0050,3-02893-7501,57 MASPETH AVENUE,Brooklyn,WILLIAMSBURG-EAST,R2  -WALK-UP,Multifamily Condo,17,2004,22417,574996,233809,341187,2723998,2019,PM-005,CLIENT-006,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0051,3-06578-7501,6501 BAY PARKWAY,Brooklyn,GRAVESEND,R4  -ELEVATOR,Mixed-Use Condo,10,2005,14986,312908,136373,176535,1360997,2019,PM-002,CLIENT-010,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0052,1-00892-7501,150 EAST 37 STREET,Manhattan,MURRAY HILL,R4  -ELEVATOR,Mixed-Use Condo,78,1963,45116,2239107,565755,1673352,13589993,2019,PM-006,CLIENT-015,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0053,3-05339-7501,235 OCEAN PARKWAY,Brooklyn,KENSINGTON,R4  -ELEVATOR,Residential Condo,14,2007,14535,373259,97385,275874,2203002,2019,PM-003,CLIENT-005,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0054,3-08726-7501,35 WEST END AVENUE,Brooklyn,MANHATTAN BEACH,R4  -ELEVATOR,Multifamily Condo,27,2014,40551,923346,297644,625702,4904001,2019,PM-005,CLIENT-014,Lease-Up,NYC DOF Condominium Comparable Rental Income,True
PROP-0055,4-05039-7507,132-34 41 AVENUE,Queens,FLUSHING-NORTH,R2  -WALK-UP,Multifamily Condo,7,2008,5855,150356,31383,118973,950000,2019,PM-009,CLIENT-007,Watchlist,NYC DOF Condominium Comparable Rental Income,True
PROP-0056,3-08676-7503,3015 BRIGHTON 6 STREET,Brooklyn,BRIGHTON BEACH,R4  -ELEVATOR,Mixed-Use Condo,38,2008,49466,885441,430849,454592,3464003,2018,PM-008,CLIENT-001,Value-Add,NYC DOF Condominium Comparable Rental Income,True
PROP-0057,3-08668-7503,727 OCEAN VIEW AVENUE,Brooklyn,BRIGHTON BEACH,R4  -ELEVATOR,Mixed-Use Condo,15,2005,26466,610571,303565,307006,2412002,2019,PM-006,CLIENT-007,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0058,4-03104-7501,65-38 AUSTIN STREET,Queens,REGO PARK,R4  -ELEVATOR,Residential Condo,66,2015,50347,1500844,433991,1066853,8663997,2019,PM-008,CLIENT-003,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0059,1-00276-7503,31 MONROE STREET,Manhattan,LOWER EAST SIDE,R4  -ELEVATOR,Multifamily Condo,28,2010,26649,1172822,325917,846905,6817006,2018,PM-006,CLIENT-011,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0060,1-01331-7501,200 EAST 58 STREET,Manhattan,MIDTOWN EAST,R4  -ELEVATOR,Multifamily Condo,115,1963,128436,5742374,1894431,3847943,31247000,2019,PM-004,CLIENT-014,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0061,2-03027-7501,4215 PARK AVENUE,Bronx,BATHGATE,RR  -CONRENT,Multifamily Condo,256,2016,313553,5230064,2354783,2875281,21023000,2019,PM-008,CLIENT-004,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0062,3-08661-7502,380 NEPTUNE AVENUE,Brooklyn,BRIGHTON BEACH,RR  -CONRENT,Residential Condo,21,2009,28134,817855,260802,557053,4517000,2019,PM-007,CLIENT-002,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0063,1-02120-7501,577 WEST 161 STREET,Manhattan,WASHINGTON HEIGHTS LOWER,RR  -CONRENT,Multifamily Condo,20,2014,13630,570688,222578,348110,2827000,2019,PM-003,CLIENT-007,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0064,3-02178-7502,178 DIVISION AVENUE,Brooklyn,75TH Q BROOKLYN,R4  -ELEVATOR,Mixed-Use Condo,4,2013,10383,289686,77873,211813,1711000,2019,PM-004,CLIENT-008,Watchlist,NYC DOF Condominium Comparable Rental Income,True
PROP-0065,2-04174-7502,3427 BRUCKNER BOULEVARD,Bronx,SCHUYLERVILLE/PELHAM BAY,RR  -CONRENT,Multifamily Condo,20,2009,25845,664733,277058,387675,3098000,2019,PM-002,CLIENT-001,Watchlist,NYC DOF Condominium Comparable Rental Income,True
PROP-0066,1-00530-7505,40 BOND STREET,Manhattan,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,Multifamily Condo,26,2006,85000,4390250,1360850,3029400,24232003,2017,PM-002,CLIENT-001,Watchlist,NYC DOF Condominium Comparable Rental Income,True
PROP-0067,3-02132-7501,401 BEDFORD AVENUE,Brooklyn,WILLIAMSBURG-SOUTH,R4  -ELEVATOR,Residential Condo,27,1999,36290,1053862,347295,706567,5729001,2019,PM-009,CLIENT-005,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0068,4-00432-7502,42-83 HUNTER STREET,Queens,LONG ISLAND CITY,R4  -ELEVATOR,Retail-Adjacent Condo,14,2016,17465,405013,147754,257259,2023000,2019,PM-005,CLIENT-008,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0069,5-00001-7503,90 BAY STREET LANDING,Staten Island,NEW BRIGHTON-ST. GEORGE,R4  -ELEVATOR,Multifamily Condo,101,1900,182861,2801431,1486660,1314771,9376009,2019,PM-003,CLIENT-001,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0070,1-01578-7502,48 EAST END AVENUE,Manhattan,UPPER EAST SIDE (79-96),R4  -ELEVATOR,Multifamily Condo,32,1910,12888,701236,199635,501601,4074001,2019,PM-002,CLIENT-003,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0071,1-00618-7503,218 WEST 14 STREET,Manhattan,GREENWICH VILLAGE-WEST,R2  -WALK-UP,Residential Condo,10,1910,8739,454515,99100,355415,2886997,2019,PM-008,CLIENT-010,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0072,1-02094-7502,700 RIVERSIDE DRIVE,Manhattan,HARLEM-UPPER,R4  -ELEVATOR,Multifamily Condo,36,1920,38578,750342,326370,423972,3220999,2019,PM-001,CLIENT-007,Lease-Up,NYC DOF Condominium Comparable Rental Income,True
PROP-0073,3-06761-7501,1530 EAST 15 STREET,Brooklyn,MIDWOOD,R2  -WALK-UP,Multifamily Condo,12,2005,16000,333440,120480,212960,1642007,2019,PM-009,CLIENT-002,Value-Add,NYC DOF Condominium Comparable Rental Income,True
PROP-0074,4-00400-7501,30-02 39 AVENUE,Queens,LONG ISLAND CITY,RR  -CONRENT,Residential Condo,428,2015,370258,13884675,5139181,8745494,71042000,2019,PM-009,CLIENT-003,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0075,4-01216-7502,61-05 39 AVENUE,Queens,WOODSIDE,R2  -WALK-UP,Multifamily Condo,85,1927,63922,1765526,765786,999740,8060001,2019,PM-002,CLIENT-015,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0076,3-02016-7501,1078 FULTON STREET,Brooklyn,BEDFORD STUYVESANT,RR  -CONRENT,Multifamily Condo,45,2011,40115,1430902,434445,996457,8093000,2019,PM-003,CLIENT-015,Lease-Up,NYC DOF Condominium Comparable Rental Income,True
PROP-0077,1-01576-7501,510 EAST 80 STREET,Manhattan,UPPER EAST SIDE (79-96),R4  -ELEVATOR,Residential Condo,91,1986,81223,3901953,929191,2972762,24142999,2019,PM-004,CLIENT-003,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0078,1-00397-7503,250 EAST HOUSTON STREET,Manhattan,ALPHABET CITY,RR  -CONRENT,Multifamily Condo,130,1989,138148,6050882,819218,5231664,42109000,2018,PM-001,CLIENT-009,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0079,1-01539-7502,200 EAST 94 STREET,Manhattan,UPPER EAST SIDE (79-96),R4  -ELEVATOR,Multifamily Condo,276,1986,404067,16898082,6133737,10764345,87422999,2019,PM-002,CLIENT-014,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0080,3-06678-7503,380 KINGS HIGHWAY,Brooklyn,GRAVESEND,R4  -ELEVATOR,Multifamily Condo,10,2009,10709,298995,111374,187621,1515003,2019,PM-002,CLIENT-013,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0081,1-00862-7502,14 EAST 33 STREET,Manhattan,MURRAY HILL,R4-ELEVATOR,Multifamily Condo,18,1920,32085,1460188,549295,910893,7286994,2017,PM-006,CLIENT-010,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0082,1-01366-7501,415 EAST 54 STREET,Manhattan,MIDTOWN EAST,R4-ELEVATOR,Multifamily Condo,106,1983,174032,8137736,2958544,5179192,41429994,2017,PM-006,CLIENT-011,Watchlist,NYC DOF Condominium Comparable Rental Income,True
PROP-0083,4-01785-7504,112-45 39 AVENUE,Queens,75TH Q QUEENS,R2  -WALK-UP,Multifamily Condo,36,2014,75907,1458173,463033,995140,7537012,2019,PM-007,CLIENT-008,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0084,2-02696-7501,886 WESTCHESTER AVENUE,Bronx,MORRISANIA/LONGWOOD,RR  -CONRENT,Multifamily Condo,83,2008,70202,1158333,477374,680959,4966000,2019,PM-001,CLIENT-003,Value-Add,NYC DOF Condominium Comparable Rental Income,True
PROP-0085,1-02045-7502,102 BRADHURST AVENUE,Manhattan,HARLEM-CENTRAL,R9  -CONDOPS,Residential Condo,135,2005,164085,5081712,2266014,2815698,22868000,2019,PM-010,CLIENT-005,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0086,4-00503-7502,11-24 31 AVENUE,Queens,ASTORIA,R4  -ELEVATOR,Residential Condo,164,2007,63579,2700836,920624,1780212,14328975,2018,PM-004,CLIENT-008,Stabilized,NYC DOF Condominium Comparable Rental Income,True
