property_id,source_boro_block_lot,address,borough,neighborhood,building_classification,asset_type,total_units,year_built,gross_sqft,base_estimated_gross_income,base_estimated_expense,base_net_operating_income,base_full_market_value,source_report_year,property_manager_id,client_account_id,asset_status,source_dataset,source_is_real
PROP-0087,3-00631-7501,599 4 AVENUE,Brooklyn,SUNSET PARK,R4  -ELEVATOR,Mixed-Use Condo,19,1920,19397,494430,212591,281839,2248996,2019,PM-003,CLIENT-008,Lease-Up,NYC DOF Condominium Comparable Rental Income,True
PROP-0088,1-00879-7503,148 EAST 24 STREET,Manhattan,GRAMERCY,R4  -ELEVATOR,Multifamily Condo,55,2009,44477,2523180,585317,1937863,15738003,2019,PM-005,CLIENT-013,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0089,4-05134-7502,136-17 MAPLE AVENUE,Queens,FLUSHING-NORTH,R4  -ELEVATOR,Multifamily Condo,68,1989,102400,2180096,899072,1281024,9916982,2019,PM-003,CLIENT-013,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0090,3-02752-7502,59 CONSELYEA STREET,Brooklyn,WILLIAMSBURG-EAST,R2  -WALK-UP,Multifamily Condo,12,2005,6373,175895,46650,129245,1042000,2019,PM-009,CLIENT-012,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0091,1-00862-7503,321 5 AVENUE,Manhattan,MURRAY HILL,R4-ELEVATOR,Residential Condo,250,2005,392216,21669934,5589078,16080856,128636994,2017,PM-005,CLIENT-010,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0092,3-05645-7501,5024 10 AVENUE,Brooklyn,BOROUGH PARK,R2  -WALK-UP,Residential Condo,8,2007,9527,182918,92793,90125,683002,2019,PM-010,CLIENT-014,Lease-Up,NYC DOF Condominium Comparable Rental Income,True
PROP-0093,2-03156-7501,269 EAST BURNSIDE AVENUE,Bronx,FORDHAM,RR  -CONRENT,Multifamily Condo,76,2010,70861,1225187,433669,791518,5840000,2019,PM-001,CLIENT-002,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0094,3-00832-7501,546 55 STREET,Brooklyn,SUNSET PARK,R2  -WALK-UP,Residential Condo,16,1931,9515,239302,68984,170318,1357005,2019,PM-001,CLIENT-001,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0095,3-00403-7508,378 BALTIC STREET,Brooklyn,CARROLL GARDENS,R4  -ELEVATOR,Multifamily Condo,36,2007,25047,754416,323357,431059,3470015,2018,PM-003,CLIENT-002,Value-Add,NYC DOF Condominium Comparable Rental Income,True
PROP-0096,1-00419-7501,302 BROOME STREET,Manhattan,LOWER EAST SIDE,R4  -ELEVATOR,Multifamily Condo,8,1990,7841,426237,109304,316933,2574002,2019,PM-007,CLIENT-009,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0097,1-01061-7502,416 WEST 52 STREET,Manhattan,CLINTON,R4  -ELEVATOR,Multifamily Condo,155,1940,221131,10306916,3354557,6952359,56464012,2019,PM-004,CLIENT-008,Value-Add,NYC DOF Condominium Comparable Rental Income,True
PROP-0098,1-00793-7505,151 WEST 17 STREET,Manhattan,CHELSEA,R4-ELEVATOR,Residential Condo,51,2001,111514,6051865,2273770,3778095,30222002,2017,PM-010,CLIENT-011,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0099,1-00273-7502,30 RUTGERS STREET,Manhattan,LOWER EAST SIDE,R4  -ELEVATOR,Multifamily Condo,10,2005,7576,405013,110685,294328,2390005,2019,PM-006,CLIENT-005,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0100,1-00298-7502,18 ORCHARD STREET,Manhattan,LOWER EAST SIDE,R4-CONDOMINIUM,Residential Condo,4,1920,7535,265684,108956,156728,1245000,2015,PM-005,CLIENT-011,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0101,4-02099-7501,63-26 99 STREET,Queens,REGO PARK,R4  -ELEVATOR,Multifamily Condo,32,1999,30520,770630,283836,486794,3877994,2019,PM-007,CLIENT-007,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0102,4-05459-7502,46-22 171 STREET,Queens,FLUSHING-NORTH,R2  -WALK-UP,Mixed-Use Condo,12,1988,10562,228350,85024,143326,1112997,2019,PM-010,CLIENT-012,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0103,1-00876-7501,7 GRAMERCY PARK WEST,Manhattan,GRAMERCY,R4  -ELEVATOR,Multifamily Condo,23,1913,30260,1390144,333163,1056981,8583993,2019,PM-010,CLIENT-002,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0104,3-00161-7501,10 NEVINS STREET,Brooklyn,DOWNTOWN-FULTON MALL,R4  -ELEVATOR,Residential Condo,184,2018,199481,7703956,2311985,5391971,43796984,2019,PM-010,CLIENT-005,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0105,4-01485-7501,40-40 75 STREET,Queens,ELMHURST,R4  -ELEVATOR,Mixed-Use Condo,58,2008,44941,1282167,353686,928481,7515990,2019,PM-005,CLIENT-009,Lease-Up,NYC DOF Condominium Comparable Rental Income,True
PROP-0106,1-01842-7501,467 CENTRAL PARK WEST,Manhattan,MANHATTAN VALLEY,R4  -ELEVATOR,Multifamily Condo,99,1929,115824,3510625,1378306,2132319,17318000,2019,PM-009,CLIENT-008,Value-Add,NYC DOF Condominium Comparable Rental Income,True
PROP-0107,5-02450-7506,2 ELMWOOD PARK DRIVE,Staten Island,NEW SPRINGVILLE,R4  -ELEVATOR,Residential Condo,177,1983,195678,3142589,1539986,1602603,11585045,2019,PM-003,CLIENT-015,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0108,1-00492-7502,2 PRINCE STREET,Manhattan,LITTLE ITALY,R4  -ELEVATOR,Multifamily Condo,10,1900,11564,423474,185487,237987,1933001,2019,PM-005,CLIENT-004,Lease-Up,NYC DOF Condominium Comparable Rental Income,True
PROP-0109,5-02452-7501,121 WELLINGTON COURT,Staten Island,NEW SPRINGVILLE,R4  -ELEVATOR,Multifamily Condo,52,1987,64512,1094769,514806,579963,4256993,2019,PM-007,CLIENT-014,Value-Add,NYC DOF Condominium Comparable Rental Income,True
PROP-0110,1-01449-7502,339 EAST 74 STREET,Manhattan,UPPER EAST SIDE (59-79),R9  -CONDOPS,Multifamily Condo,149,1987,148594,7200865,1829192,5371673,43626000,2019,PM-006,CLIENT-012,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0111,1-00849-7504,260 PARK AVENUE SOUTH,Manhattan,FLATIRON,R4-ELEVATOR,Mixed-Use Condo,109,1913,191318,8670532,2492874,6177658,49417001,2017,PM-004,CLIENT-004,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0112,1-01492-7501,45 EAST 80 STREET,Manhattan,UPPER EAST SIDE (79-96),R4  -ELEVATOR,Multifamily Condo,50,1987,101117,5238872,1165879,4072993,32782999,2018,PM-006,CLIENT-015,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0113,1-00903-7501,205 EAST 22 STREET,Manhattan,GRAMERCY,R4  -ELEVATOR,Multifamily Condo,64,1920,130448,4299566,1676257,2623309,20892001,2018,PM-003,CLIENT-007,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0114,1-01831-7501,245 WEST 115 STREET,Manhattan,HARLEM-CENTRAL,R2  -WALK-UP,Mixed-Use Condo,20,1900,7852,297355,103960,193395,1571000,2019,PM-007,CLIENT-005,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0115,4-00872-7501,25-47 23 STREET,Queens,ASTORIA,R4  -ELEVATOR,Multifamily Condo,8,2006,7245,180618,50425,130193,1034998,2019,PM-005,CLIENT-010,Lease-Up,NYC DOF Condominium Comparable Rental Income,True
PROP-0116,3-06820-7501,1835 EAST 14 STREET,Brooklyn,MADISON,R4  -ELEVATOR,Multifamily Condo,7,2005,9500,258970,103550,155420,1251001,2019,PM-004,CLIENT-006,Lease-Up,NYC DOF Condominium Comparable Rental Income,True
PROP-0117,1-00926-7501,346 EAST 21 STREET,Manhattan,KIPS BAY,RR  -CONRENT,Multifamily Condo,30,1910,22101,710326,247752,462574,3673000,2018,PM-003,CLIENT-014,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0118,1-00222-7502,195 HUDSON STREET,Manhattan,TRIBECA,R4-ELEVATOR,Multifamily Condo,27,1920,88496,3634531,1181422,2453109,19624999,2017,PM-006,CLIENT-008,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0119,3-00396-7501,318 WARREN STREET,Brooklyn,BOERUM HILL,RR  -CONRENT,Retail-Adjacent Condo,49,1910,71187,1870082,580174,1289908,10382000,2018,PM-010,CLIENT-010,Watchlist,NYC DOF Condominium Comparable Rental Income,True
PROP-0120,3-01715-7503,456 FLUSHING AVENUE,Brooklyn,BEDFORD STUYVESANT,R4  -ELEVATOR,Mixed-Use Condo,1,2000,14647,396494,115858,280636,2256998,2019,PM-008,CLIENT-015,Lease-Up,NYC DOF Condominium Comparable Rental Income,True
PROP-0121,4-02474-7501,81-18 QUEENS BOULEVARD,Queens,ELMHURST,R4  -ELEVATOR,Mixed-Use Condo,30,2004,24801,744278,246274,498004,4045002,2019,PM-006,CLIENT-015,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0122,1-00520-7501,27 KING STREET,Manhattan,SOHO,R4  -ELEVATOR,Residential Condo,38,1900,33383,1439475,443660,995815,8088001,2019,PM-009,CLIENT-011,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0123,1-01914-7503,2185 ADAM C. POWELL BOULEVARD,Manhattan,HARLEM-CENTRAL,RR  -CONRENT,Retail-Adjacent Condo,48,2007,54628,1399569,486189,913380,7294000,2019,PM-006,CLIENT-013,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0124,1-01681-7501,2132 2 AVENUE,Manhattan,HARLEM-EAST,R4  -ELEVATOR,Mixed-Use Condo,31,2006,32483,1491619,236801,1254818,10191000,2019,PM-003,CLIENT-010,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0125,1-00188-7505,48 BEACH STREET,Manhattan,TRIBECA,R4  -ELEVATOR,Multifamily Condo,25,1930,94532,3991141,1525746,2465395,20023008,2019,PM-001,CLIENT-015,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0126,4-00613-7501,31-35 31 STREET,Queens,ASTORIA,R4  -ELEVATOR,Multifamily Condo,81,1957,82760,1695752,577665,1118087,8584994,2019,PM-010,CLIENT-014,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0127,3-00769-7501,4721 8 AVENUE,Brooklyn,BOROUGH PARK,R4  -ELEVATOR,Residential Condo,18,2008,23207,509626,202829,306797,2389002,2019,PM-004,CLIENT-008,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0128,3-02697-7502,285 DRIGGS AVENUE,Brooklyn,GREENPOINT,R4  -ELEVATOR,Multifamily Condo,12,2004,12806,372142,155593,216549,1756002,2019,PM-003,CLIENT-007,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0129,1-01577-7501,520 EAST 81 STREET,Manhattan,UPPER EAST SIDE (79-96),R4  -ELEVATOR,Residential Condo,164,1964,103108,4942998,1768302,3174696,25782999,2019,PM-003,CLIENT-010,Watchlist,NYC DOF Condominium Comparable Rental Income,True
PROP-0130,4-03447-7501,311 ST NICHOLAS AVENUE,Queens,RIDGEWOOD,R4  -ELEVATOR,Multifamily Condo,24,1930,24256,533389,176826,356563,2776997,2019,PM-005,CLIENT-009,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0131,4-04957-7501,139-30 34 AVENUE,Queens,FLUSHING-NORTH,R4  -ELEVATOR,Multifamily Condo,18,2008,17084,598282,255577,342705,2783000,2019,PM-004,CLIENT-012,Value-Add,NYC DOF Condominium Comparable Rental Income,True
PROP-0132,1-01113-7502,1 CENTRAL PARK WEST,Manhattan,UPPER WEST SIDE (59-79),R4  -ELEVATOR,Multifamily Condo,156,1960,415113,24682619,8019983,16662636,135309991,2019,PM-005,CLIENT-009,Watchlist,NYC DOF Condominium Comparable Rental Income,True
PROP-0133,1-00590-7502,9 BARROW STREET,Manhattan,GREENWICH VILLAGE-WEST,R9  -CONDOPS,Residential Condo,86,1930,89510,3692288,875408,2816880,22673000,2018,PM-009,CLIENT-007,Watchlist,NYC DOF Condominium Comparable Rental Income,True
PROP-0134,3-00915-7501,755 40 STREET,Brooklyn,SUNSET PARK,R4  -ELEVATOR,Mixed-Use Condo,12,2002,10194,245268,93173,152095,1203000,2019,PM-008,CLIENT-012,Value-Add,NYC DOF Condominium Comparable Rental Income,True
PROP-0135,1-01158-7501,160 WEST END AVENUE,Manhattan,UPPER WEST SIDE (59-79),R9  -CONDOPS,Residential Condo,508,1963,471630,17789884,7135762,10654122,86527000,2019,PM-001,CLIENT-003,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0136,4-05131-7501,55-16 MAIN STREET,Queens,FLUSHING-NORTH,R2  -WALK-UP,Mixed-Use Condo,16,1986,20020,468868,188789,280079,2206992,2019,PM-003,CLIENT-003,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0137,4-01901-7501,94-22 55 AVENUE,Queens,ELMHURST,R2  -WALK-UP,Retail-Adjacent Condo,9,1990,7124,148820,63902,84918,655000,2019,PM-008,CLIENT-003,Value-Add,NYC DOF Condominium Comparable Rental Income,True
PROP-0138,4-02099-7502,63-36 99 STREET,Queens,REGO PARK,R4  -ELEVATOR,Multifamily Condo,69,2008,87491,3094557,965901,2128656,17288002,2019,PM-009,CLIENT-012,Value-Add,NYC DOF Condominium Comparable Rental Income,True
PROP-0139,3-01914-7505,898 BEDFORD AVENUE,Brooklyn,BEDFORD STUYVESANT,R4  -ELEVATOR,Multifamily Condo,17,2008,20790,611226,168399,442827,3596001,2019,PM-009,CLIENT-006,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0140,5-02400-7501,80 RICHMOND HILL ROAD,Staten Island,NEW SPRINGVILLE,R4  -ELEVATOR,Multifamily Condo,243,1990,208726,3385536,1145906,2239630,16236969,2019,PM-005,CLIENT-002,Watchlist,NYC DOF Condominium Comparable Rental Income,True
PROP-0141,3-01426-7501,645 LEFFERTS AVENUE,Brooklyn,FLATBUSH-NORTH,R2  -WALK-UP,Mixed-Use Condo,22,1925,30700,529882,238539,291343,2150004,2019,PM-001,CLIENT-005,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0142,4-03354-7501,83-09 TALBOT STREET,Queens,KEW GARDENS,R4  -ELEVATOR,Multifamily Condo,83,1923,104492,2750229,1044920,1705309,13671014,2019,PM-005,CLIENT-002,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0143,4-01955-7501,54-09 108 STREET,Queens,CORONA,R4  -ELEVATOR,Multifamily Condo,29,1992,25040,495792,191806,303986,2318004,2019,PM-002,CLIENT-005,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0144,1-00469-7505,123 3 AVENUE,Manhattan,EAST VILLAGE,R4  -ELEVATOR,Multifamily Condo,47,2009,60555,3445580,1066374,2379206,19323000,2019,PM-008,CLIENT-010,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0145,1-01232-7501,255 WEST 84 STREET,Manhattan,UPPER WEST SIDE (79-96),R9  -CONDOPS,Multifamily Condo,76,1915,147022,4929648,1176176,3753472,30483000,2019,PM-005,CLIENT-014,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0146,1-01929-7504,2300 FREDERICK DOUGLASS BLVD.,Manhattan,HARLEM-CENTRAL,R4  -ELEVATOR,Retail-Adjacent Condo,44,2008,55379,1764929,441371,1323558,10748999,2019,PM-010,CLIENT-012,Value-Add,NYC DOF Condominium Comparable Rental Income,True
PROP-0147,5-00001-7502,155 BAY STREET,Staten Island,NEW BRIGHTON-ST. GEORGE,R4  -ELEVATOR,Mixed-Use Condo,57,2005,62045,1310390,618589,691801,5345009,2019,PM-001,CLIENT-006,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0148,1-01241-7501,257 WEST 93 STREET,Manhattan,UPPER WEST SIDE (79-96),R4  -ELEVATOR,Multifamily Condo,15,1930,16506,702825,180576,522249,4203997,2018,PM-002,CLIENT-015,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0149,5-00610-7502,850 HOWARD AVENUE,Staten Island,SUNNYSIDE,R4  -ELEVATOR,Multifamily Condo,67,1981,65392,1182941,574796,608145,4540999,2019,PM-001,CLIENT-011,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0150,3-01885-7502,42 SKILLMAN STREET,Brooklyn,BEDFORD STUYVESANT,R4  -ELEVATOR,Multifamily Condo,20,2004,25423,671930,139827,532103,4266000,2019,PM-007,CLIENT-004,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0151,3-02335-7501,140 NORTH 6 STREET,Brooklyn,WILLIAMSBURG-NORTH,RR  -CONRENT,Multifamily Condo,44,2011,70157,3157065,726125,2430940,19743000,2019,PM-003,CLIENT-015,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0152,3-07260-7502,2803 OCEAN PARKWAY,Brooklyn,BRIGHTON BEACH,R4  -ELEVATOR,Residential Condo,34,2006,44956,1311816,497663,814153,6606995,2019,PM-001,CLIENT-014,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0153,1-01928-7506,2280 FREDERICK DOUGLASS BLVD,Manhattan,HARLEM-CENTRAL,R4  -ELEVATOR,Multifamily Condo,89,2010,109191,3491928,1231674,2260254,17933000,2018,PM-003,CLIENT-006,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0154,2-05606-7502,195 BALCOM AVENUE,Bronx,THROGS NECK,R2  -WALK-UP,Multifamily Condo,20,1997,20621,386850,150946,235904,1777996,2019,PM-005,CLIENT-009,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0155,5-02451-7501,120 WELLINGTON COURT,Staten Island,NEW SPRINGVILLE,R4  -ELEVATOR,Residential Condo,31,1989,35212,575716,280288,295428,2146995,2019,PM-005,CLIENT-008,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0156,2-05709-7501,3050 CORLEAR AVENUE,Bronx,KINGSBRIDGE/JEROME PARK,RR  -CONRENT,Residential Condo,63,2009,50788,1571381,694780,876601,7056000,2018,PM-002,CLIENT-015,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0157,3-00193-7502,52 DEAN STREET,Brooklyn,BOERUM HILL,R2  -WALK-UP,Multifamily Condo,23,2006,29086,827497,258284,569213,4604007,2019,PM-001,CLIENT-001,Watchlist,NYC DOF Condominium Comparable Rental Income,True
PROP-0158,1-00190-7503,31 NORTH MOORE STREET,Manhattan,TRIBECA,R4  -ELEVATOR,Multifamily Condo,23,1915,86900,3327401,1048014,2279387,18331999,2018,PM-001,CLIENT-011,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0159,1-00217-7501,79 LAIGHT STREET,Manhattan,TRIBECA,R4  -ELEVATOR,Multifamily Condo,33,1853,100894,3917714,975645,2942069,23680996,2018,PM-003,CLIENT-013,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0160,4-03098-7505,64-86 WETHEROLE STREET,Queens,15TH Q QUEENS,R4  -ELEVATOR,Mixed-Use Condo,23,2015,21009,722710,115550,607160,4929998,2019,PM-004,CLIENT-009,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0161,1-00594-7504,491 GREENWICH STREET,Manhattan,SOHO,R4-ELEVATOR,Multifamily Condo,22,1915,65085,2817530,877346,1940184,15525004,2016,PM-008,CLIENT-013,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0162,3-00265-7502,56 COURT STREET,Brooklyn,BROOKLYN HEIGHTS,R4  -ELEVATOR,Multifamily Condo,12,1927,18663,608787,159755,449032,3614002,2018,PM-007,CLIENT-006,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0163,4-03322-7501,118-82 METROPOLITAN AVENUE,Queens,KEW GARDENS,R4  -ELEVATOR,Residential Condo,41,2002,35180,1070527,353207,717320,5825993,2019,PM-010,CLIENT-005,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0164,1-01988-7501,519 WEST 135 STREET,Manhattan,HARLEM-WEST,R4  -ELEVATOR,Multifamily Condo,13,2002,21862,668977,266716,402261,3267001,2019,PM-004,CLIENT-013,Watchlist,NYC DOF Condominium Comparable Rental Income,True
PROP-0165,1-00276-7501,102 MADISON STREET,Manhattan,LOWER EAST SIDE,R4  -ELEVATOR,Mixed-Use Condo,12,1991,5700,300732,78660,222072,1804003,2019,PM-006,CLIENT-014,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0166,1-01331-7503,207 EAST 57 STREET,Manhattan,MIDTOWN EAST,R4  -ELEVATOR,Multifamily Condo,67,2005,104916,5332880,1591576,3741304,30114002,2018,PM-007,CLIENT-001,Lease-Up,NYC DOF Condominium Comparable Rental Income,True
PROP-0167,1-00189-7501,220 WEST BROADWAY,Manhattan,TRIBECA,R9  -CONDOPS,Multifamily Condo,24,1915,52735,1911116,446138,1464978,11744000,2018,PM-009,CLIENT-005,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0168,1-00149-7502,57 READE STREET,Manhattan,CIVIC CENTER,R4-ELEVATOR,Mixed-Use Condo,83,2010,129861,7016390,2356977,4659413,37284008,2016,PM-007,CLIENT-008,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0169,1-00807-7502,885 AVENUE OF THE AMERICA,Manhattan,FASHION,RR-CONDOMINIUM,Multifamily Condo,337,2008,345294,12813860,3711911,9101949,71076000,2012,PM-008,CLIENT-011,Watchlist,NYC DOF Condominium Comparable Rental Income,True
PROP-0170,1-00721-7501,465 WEST 23 STREET,Manhattan,CHELSEA,R9  -CONDOPS,Mixed-Use Condo,713,1920,616965,28312524,8686867,19625657,157966001,2018,PM-004,CLIENT-001,Watchlist,NYC DOF Condominium Comparable Rental Income,True
PROP-0171,1-01115-7501,25 CENTRAL PARK WEST,Manhattan,UPPER WEST SIDE (59-79),R4  -ELEVATOR,Mixed-Use Condo,423,1932,598316,34588648,5630154,28958494,235185988,2019,PM-009,CLIENT-007,Value-Add,NYC DOF Condominium Comparable Rental Income,True
PROP-0172,3-00336-7502,156 SACKETT STREET,Brooklyn,COBBLE HILL-WEST,R4  -ELEVATOR,Residential Condo,20,2000,24122,718112,281263,436849,3548006,2019,PM-006,CLIENT-012,Stabilized,NYC DOF Condominium Comparable Rental Income,True
PROP-0173,3-01805-7502,420 LEXINGTON AVENUE,Brooklyn,BEDFORD STUYVESANT,RR  -CONRENT,Multifamily Condo,66,2015,59273,1791230,505599,1285631,10441000,2019,PM-007,CLIENT-012,Watchlist,NYC DOF Condominium Comparable Rental Income,True
PROP-0174,1-00141-7502,184 DUANE STREET,Manhattan,TRIBECA,R4-ELEVATOR,Retail-Adjacent Condo,2,1915,4198,241427,59486,181941,1456001,2016,PM-005,CLIENT-002,Value-Add,NYC DOF Condominium Comparable Rental Income,True
PROP-0175,4-02186-7501,110-14 65 AVENUE,Queens,FOREST HILLS,R2  -WALK-UP,Retail-Adjacent Condo,20,1951,22736,495872,181888,313984,2441995,2019,PM-003,CLIENT-001,Stabilized,NYC DOF Condominium Comparable Rental Income,True
